"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.073527853111788,0.0537455642249028,0.694379444780203,0.254051668284864,0.235408948712109,-862.126109823253
"Std.",0.00151636795224554,0.00506301949821548,0.0244150551740469,0.0167471415800314,0.00737899134096597,1.54974306904608
"Acceptance ratio",0.27678,0.2715,0.22178,0.18416,0.21822,0.73476
"0%",0.0677188930012947,0.0308323987199852,0.592594270540151,0.195680572945501,0.205650402248848,-873.222674548717
"2.5%",0.07048763635056,0.0428795632079872,0.64973792255373,0.220800353691714,0.221591392262593,-865.923710850404
"5%",0.0710077064223253,0.0448278233788238,0.656555201724866,0.22655033942632,0.22371203036373,-865.071284662635
"7.5%",0.0713286848495447,0.0461332550425619,0.660245304893633,0.229852356663169,0.225050304214152,-864.548649932765
"10%",0.0715692919675648,0.0471114715491442,0.663620839229242,0.232388360200454,0.226048624006451,-864.179034635466
"12.5%",0.07177123674901,0.0478735690338876,0.666562358104254,0.234455898575437,0.227027511167425,-863.895197134649
"15%",0.0719631013055329,0.0485253670540592,0.66893145411452,0.236480142075603,0.22779610905197,-863.656309079591
"17.5%",0.0721147092855368,0.0490858752166968,0.671104976509214,0.238325964037836,0.228608668361936,-863.44315262461
"20%",0.0722482122833805,0.0495694219576085,0.673034989651492,0.239798481055242,0.229270538050484,-863.253295404793
"22.5%",0.0723770347908717,0.0500493901045709,0.675116516114556,0.241192908314449,0.229897859552026,-863.078818190947
"25%",0.0725095958882244,0.0505079858272681,0.677050848967297,0.242459209449338,0.23049304974929,-862.920189195864
"27.5%",0.072632024243647,0.050916650327134,0.678984970643084,0.243841895267925,0.231068218700808,-862.780213694141
"30%",0.0727405065953516,0.0513256851062166,0.68075483460274,0.245119041294091,0.231459361436254,-862.642397778521
"32.5%",0.0728552363262824,0.0517099821497544,0.68236972533645,0.246383968018004,0.231890754966964,-862.517808062726
"35%",0.0729613640382091,0.0520545113986181,0.684218478510295,0.247678603065574,0.23239313185852,-862.398845886866
"37.5%",0.0730670405491263,0.0524275288962401,0.685968663281213,0.248731665415778,0.232847734620019,-862.286586069579
"40%",0.0731640742128126,0.0527830352912449,0.687421206652022,0.249831771328286,0.233273788754899,-862.181752130545
"42.5%",0.073256074679739,0.0531073134578322,0.688987524317289,0.250899924739596,0.233742699726626,-862.074737608696
"45%",0.0733522592491598,0.0534019548063319,0.690636440682946,0.252017631816258,0.234223356901912,-861.979390710568
"47.5%",0.0734405632733762,0.053746083703678,0.692326341986671,0.252996462726494,0.234660819172625,-861.890494999797
"50%",0.0735397330037985,0.0540409098518422,0.69376893427118,0.254112610194882,0.235154826611101,-861.80059896075
"52.5%",0.073633588339148,0.0543515584157242,0.695355680024576,0.255165008822728,0.235657806909564,-861.712069067388
"55%",0.0737461864014593,0.0546597087850224,0.696877939833876,0.256233506987525,0.236109905636188,-861.624748414191
"57.5%",0.0738297186647232,0.0550067589663086,0.698456798143123,0.257363323339587,0.236583380587826,-861.539384379623
"60%",0.0739226294923618,0.0552994099165062,0.699994010263498,0.258462376292609,0.236988903943675,-861.462444289092
"62.5%",0.0740054702353541,0.0556098789321848,0.701638732830387,0.25963114802856,0.23752346625529,-861.385585400018
"65%",0.0740898666259786,0.0559176450621467,0.703356575956705,0.260630192792535,0.238000828552457,-861.30437538046
"67.5%",0.0741900154930609,0.0562366670584599,0.704926592131045,0.261753435004955,0.238539590343227,-861.224395813606
"70%",0.0742971669209222,0.0566064628097778,0.706612803453682,0.262775046973648,0.239077813019364,-861.14606688417
"72.5%",0.0744195713255988,0.0569063108920805,0.708546777603891,0.263909195477923,0.239638614564988,-861.071577111573
"75%",0.0745466366247523,0.0572483942415866,0.710614971752455,0.265191987418071,0.240223315420742,-860.99032319153
"77.5%",0.0746791123221686,0.0576320319903878,0.712685791115284,0.266571240138258,0.240865737606561,-860.912687313053
"80%",0.074805921350058,0.0580017850734572,0.714906770734267,0.268074341808857,0.241513672938749,-860.832246469573
"82.5%",0.0749436125441395,0.0584586630854518,0.717189308358254,0.269537304822126,0.242347147957717,-860.75076434136
"85%",0.0751040497965526,0.0589289894557772,0.719883597094711,0.271112588498449,0.243065155204768,-860.665154827353
"87.5%",0.0752719465203957,0.0594878476374007,0.723094580576957,0.273344679495505,0.244027306522735,-860.575334982858
"90%",0.0754846864401947,0.0600528388407777,0.726363160428497,0.275678115125104,0.245099175935975,-860.479250429961
"92.5%",0.0757162992440393,0.0607177628424519,0.730390311078489,0.278437017839036,0.246354059459278,-860.373208923005
"95%",0.0760251588421455,0.0615516670079755,0.735307120660268,0.282246421049133,0.24803640953324,-860.254150487578
"97.5%",0.0765166678751393,0.0626960584146708,0.744220580527194,0.287056716592878,0.250373200943485,-860.106455162319
"100%",0.0788919455212193,0.07113941836208,0.786457625309638,0.315563233579835,0.263958988587985,-859.727197815375
