# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/out/GOY006.A0101.SG1.2_5M.mapped_a_kilianii_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/input/GCF_963519225.1_ERR9968767_bin.6_MetaWRAP_v1.3_MAG_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	36	170
+	37	168
+	35	169
+	33	167
+	38	143
+	34	181
+	138	1
+	61	38
+	39	156
+	44	139
+	48	118
+	47	97
+	46	129
+	41	135
+	58	37
+	87	4
+	79	13
+	45	128
+	52	91
+	56	54
+	43	129
+	81	7
+	53	66
+	32	190
+	68	27
+	31	183
+	55	58
+	71	19
+	65	33
+	54	78
+	62	40
+	63	36
+	93	5
+	70	25
+	50	110
+	30	186
+	49	90
+	67	32
+	51	88
+	94	2
+	42	145
+	57	53
+	126	2
+	66	33
+	75	17
+	73	22
+	60	24
+	40	102
+	99	4
+	59	35
+	116	1
+	64	25
+	72	15
+	96	4
+	85	8
+	90	7
+	76	15
+	83	8
+	69	18
+	77	11
+	102	4
+	107	3
+	78	8
+	92	5
+	86	4
+	82	13
+	80	5
+	88	7
+	29	2
+	121	2
+	95	4
+	89	6
+	91	4
+	74	8
+	117	3
+	111	3
+	103	3
+	141	1
+	84	7
+	132	1
+	127	2
+	101	7
+	120	2
+	124	1
+	113	1
+	115	1
+	108	1
+	130	1
+	110	2
+	109	1
+	104	1
-	44	123
-	51	69
-	39	154
-	54	62
-	49	107
-	31	181
-	53	73
-	72	16
-	43	146
-	30	180
-	37	169
-	32	188
-	47	108
-	42	149
-	41	144
-	34	183
-	60	30
-	40	129
-	66	36
-	61	36
-	55	57
-	57	47
-	45	124
-	35	184
-	33	195
-	36	173
-	56	68
-	52	74
-	63	29
-	68	24
-	38	154
-	48	109
-	102	3
-	70	24
-	67	20
-	73	23
-	59	47
-	46	124
-	58	45
-	65	34
-	107	1
-	76	26
-	50	84
-	74	15
-	62	38
-	94	4
-	69	23
-	64	35
-	75	12
-	71	21
-	90	8
-	80	11
-	86	9
-	105	2
-	95	9
-	77	8
-	79	11
-	97	5
-	85	4
-	110	3
-	96	3
-	84	11
-	81	10
-	100	3
-	93	3
-	78	12
-	118	1
-	91	4
-	83	7
-	131	2
-	82	2
-	121	1
-	92	3
-	115	1
-	113	1
-	104	2
-	89	1
-	103	2
-	133	1
-	139	1
-	88	5
-	87	4
-	106	1
-	117	1
-	136	1
-	29	1
-	98	2
-	99	1
