pos	5pC>T
1	0.430379746835443
2	0.241463414634146
3	0.143187066974596
4	0.123983739837398
5	0.116129032258065
6	0.0732217573221757
7	0.0594713656387665
8	0.0385438972162741
9	0.0694736842105263
10	0.0473251028806584
11	0.0563380281690141
12	0.0516528925619835
13	0.0494071146245059
14	0.0443037974683544
15	0.0377777777777778
16	0.0429906542056075
17	0.0217391304347826
18	0.0452674897119342
19	0.0509554140127389
20	0.0404624277456647
21	0.0272536687631027
22	0.0353634577603143
23	0.037344398340249
24	0.0270833333333333
25	0.0450097847358121
