"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0888932252176458,0.0392210030850359,0.990523260970434,0.362133318631498,0.19142140921621,-767.582554997416
"Std.",0.00190203455527237,0.00265078134645951,0.00895453489840839,0.0091033713598705,0.00706609304496485,1.70620970616901
"Acceptance ratio",0.19594,0.26872,0.19722,0.22786,0.21734,0.71548
"0%",0.0807652992682332,0.0277401444805148,0.909715102026802,0.325747632360893,0.164591735214136,-780.930363108128
"2.5%",0.085054187306328,0.0340622124481667,0.966351032274097,0.34374870881526,0.177979993358963,-771.781726358385
"5%",0.0857280229256821,0.0349247701484912,0.972487794298073,0.347028062913576,0.179923497735974,-770.832167165302
"7.5%",0.0861374267969295,0.0354359747429213,0.976071899144092,0.349009867541306,0.18138074827592,-770.235840709605
"10%",0.0864464363343778,0.0358736503865327,0.978395574432287,0.350445914140245,0.182472742126457,-769.831227281553
"12.5%",0.0867129073207035,0.0361959327770516,0.980381774083234,0.35191048531406,0.183425549014619,-769.525794066108
"15%",0.0869452536389399,0.0364700898848113,0.982101693017485,0.352762495513322,0.184119730553354,-769.256188734679
"17.5%",0.0871348178316893,0.0367163447591081,0.983214702817153,0.353768617560314,0.184806901339503,-769.040352484943
"20%",0.0873015351721351,0.0369630340090296,0.984447498198206,0.354608971429042,0.185429806064535,-768.847069735948
"22.5%",0.087450463995757,0.0371761836385155,0.985511703170335,0.355475289662356,0.186049070874496,-768.660732446372
"25%",0.0876136922546558,0.0374099922737385,0.986605111105046,0.356220836420292,0.18663190402015,-768.488320327075
"27.5%",0.0877707434001759,0.0376236818608648,0.987491429337012,0.356845549508774,0.18718387663386,-768.335512505762
"30%",0.0879088697134098,0.0378227372583422,0.98839009998596,0.357460512393767,0.18764511650268,-768.18731893566
"32.5%",0.0880340487511562,0.0380083052822267,0.989187679837559,0.358130443656335,0.188103467578362,-768.047084211596
"35%",0.0881843692332881,0.0381831906858937,0.989960614824455,0.358805068650278,0.188535820003537,-767.922355517561
"37.5%",0.0883118868626006,0.0383625530568715,0.990549809859316,0.359340820180743,0.18904628095415,-767.80945277071
"40%",0.0884526586140911,0.038528328356702,0.991110436293374,0.359875008115613,0.189484505688591,-767.701637663226
"42.5%",0.0885570654316919,0.038726848055048,0.991685588905679,0.360477473548151,0.189921416247681,-767.578791537219
"45%",0.0886572451196148,0.0389072128633163,0.992194288231388,0.361027897965605,0.190328620901181,-767.474439302843
"47.5%",0.0887819346427719,0.0390726770185508,0.992627455659927,0.361521393512091,0.19079585878694,-767.365981868374
"50%",0.0889073566221947,0.0392483633342492,0.993187139673221,0.362131894923714,0.191228934194248,-767.261588394487
"52.5%",0.0890256496274397,0.0394121884527223,0.993649791997257,0.362639221712935,0.191705035064374,-767.167634955471
"55%",0.0891237382100923,0.0395910142597832,0.994014743788825,0.363226034282459,0.192118439087282,-767.064653543942
"57.5%",0.0892345798363039,0.0397374602651866,0.994444055816654,0.363869630152618,0.192653769441287,-766.968202253063
"60%",0.0893526188590873,0.0398987830199738,0.99493684542143,0.364494507651125,0.193076517991514,-766.875745402225
"62.5%",0.0894918640179816,0.0400669688305768,0.995336724360934,0.365008833376024,0.193486942920667,-766.782876629674
"65%",0.0896272902486824,0.040251539784136,0.995726208927996,0.365611274426354,0.193948691921411,-766.68874940363
"67.5%",0.0897537575544448,0.0404290583425916,0.996094943134125,0.36625257876131,0.194484952517071,-766.600340753794
"70%",0.0898884691754672,0.0406230868457213,0.996478075208793,0.366887775204477,0.19505470809127,-766.510705699178
"72.5%",0.0900313510520096,0.0408341171181509,0.996810067362837,0.367651721640629,0.195608242256058,-766.416401721522
"75%",0.0901926758394937,0.0410509384465922,0.997156183541288,0.368286641690883,0.196126153213957,-766.328985231591
"77.5%",0.0903600337620503,0.0412694073914903,0.997459935854256,0.3690507415607,0.196682089929233,-766.235120192957
"80%",0.0905442477947505,0.0414864984412222,0.997749825255508,0.369780640053833,0.197231038223411,-766.13764920559
"82.5%",0.0907186052546693,0.0417294428563002,0.998025704985162,0.370688095658087,0.197964752141683,-766.037110344368
"85%",0.09089339340576,0.0419625920568542,0.99835245238713,0.371500880495489,0.198840893851177,-765.936598137287
"87.5%",0.0911134213331566,0.0422547588729426,0.998670814516009,0.372489243678166,0.199775830724858,-765.83347014716
"90%",0.0913546572282863,0.042577747336111,0.998968914177023,0.373664219416104,0.200716973271843,-765.721898770692
"92.5%",0.0916023923679116,0.0429816909764216,0.999198940158273,0.375098838174881,0.20195703938767,-765.596017949282
"95%",0.0920010402276079,0.0435162199361484,0.999474548924811,0.377028948254027,0.203458715221043,-765.44352790069
"97.5%",0.0925083128512367,0.0443473361051735,0.999704709780319,0.379685823522446,0.205516587612786,-765.241392920334
"100%",0.0959787189335048,0.0500090867110737,0.999999670543806,0.404476833645721,0.220523451014041,-764.709179328803
