# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/mapDamage2_ssLibs/input/PES001.B0102.SG1.5_5M.mapped_a_kilianii_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/input/GCF_963519225.1_ERR9968767_bin.6_MetaWRAP_v1.3_MAG_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	42	112
+	52	45
+	34	139
+	31	190
+	82	3
+	32	190
+	40	90
+	49	59
+	43	101
+	45	70
+	30	234
+	44	73
+	38	112
+	47	50
+	107	1
+	78	5
+	33	152
+	35	129
+	37	131
+	94	1
+	41	75
+	90	3
+	39	96
+	63	14
+	61	20
+	36	136
+	51	43
+	56	26
+	48	49
+	59	14
+	65	10
+	50	54
+	46	79
+	73	10
+	70	11
+	55	26
+	76	12
+	53	36
+	57	14
+	64	12
+	106	1
+	85	6
+	87	1
+	58	24
+	71	11
+	88	2
+	60	19
+	62	19
+	67	14
+	66	16
+	74	5
+	54	30
+	110	2
+	84	2
+	114	1
+	69	9
+	68	12
+	75	7
+	99	1
+	100	1
+	102	2
+	93	2
+	80	2
+	92	2
+	105	2
+	89	2
+	81	1
+	121	1
+	98	1
+	125	1
+	79	6
+	86	1
+	103	2
+	77	3
+	83	3
+	91	3
+	111	1
+	120	1
+	72	5
+	117	2
+	129	1
+	96	1
+	112	1
+	126	1
-	53	40
-	32	171
-	72	10
-	38	110
-	31	192
-	33	159
-	35	158
-	43	105
-	51	49
-	30	169
-	80	6
-	40	107
-	36	125
-	37	123
-	41	104
-	91	4
-	48	63
-	59	27
-	34	152
-	106	2
-	46	60
-	79	4
-	47	56
-	73	6
-	44	71
-	50	57
-	62	14
-	71	20
-	75	6
-	42	87
-	39	103
-	45	60
-	66	11
-	49	37
-	56	23
-	68	9
-	101	2
-	82	6
-	99	2
-	61	18
-	54	29
-	69	8
-	87	4
-	57	18
-	52	51
-	60	20
-	78	4
-	119	2
-	65	18
-	55	31
-	76	13
-	95	3
-	63	17
-	84	4
-	58	22
-	67	12
-	81	5
-	70	2
-	64	16
-	90	3
-	74	6
-	121	1
-	97	2
-	77	5
-	113	3
-	85	2
-	109	4
-	104	1
-	83	2
-	132	2
-	107	1
-	86	1
-	117	1
-	116	1
-	94	2
-	134	1
-	120	1
-	93	2
-	103	2
-	89	1
-	98	1
-	128	1
