"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.191442329057218,0.00922740202133228,0.2834866727033,0.742955643033478,0.292360324639359,-306.982919723119
"Std.",0.0182657139364028,0.00672340245374511,0.267051247475969,0.236688889315744,0.0449857856841692,1.35764038684012
"Acceptance ratio",0.21446,0.2166,0.18704,0.1908,0.15982,0.66126
"0%",0.127244032112397,3.78447196932793e-07,1.85373411342726e-05,0.000634965934208309,0.155798908044574,-319.502081674167
"2.5%",0.157412968486239,0.000372612043765729,0.00561705104666693,0.141234212673472,0.214416735387934,-310.448600898735
"5%",0.162765432060962,0.000815168773075821,0.0092174798337552,0.235847522486695,0.223647075816476,-309.577945978965
"7.5%",0.165889170828423,0.00126559984446278,0.0152657429454455,0.314103807402201,0.23137200288462,-309.120428408888
"10%",0.168339433492999,0.0016174743321663,0.0206922374611561,0.376782723119855,0.236878436625924,-308.790456704941
"12.5%",0.170517343419025,0.00205930554232338,0.0261112190654931,0.429102800884443,0.24147442531315,-308.507970743961
"15%",0.172343414087223,0.00243953639093266,0.0338903291656714,0.469523441974396,0.245911026107808,-308.285222645389
"17.5%",0.174019873772634,0.00283429635313802,0.0421989360996361,0.514661364391476,0.2499381855635,-308.075931935075
"20%",0.175606906580131,0.00321474505049214,0.0507084019094134,0.554374969053694,0.254574708377096,-307.908326664625
"22.5%",0.17728111324814,0.00359744651331762,0.0594711020301118,0.583000772429915,0.258273849297907,-307.755147669122
"25%",0.178582943615668,0.00394201920023171,0.0685712501970174,0.615406954877115,0.261497723027641,-307.625234870313
"27.5%",0.179851121166486,0.00429402308499586,0.0784086660533746,0.640494948581013,0.264086154468013,-307.499597498166
"30%",0.18119954360174,0.00466901289705547,0.0884825305477117,0.670055695261491,0.266835246894712,-307.392904980229
"32.5%",0.182518104765223,0.00509814489524535,0.0991878577294971,0.694708451526243,0.269442874614512,-307.286298518116
"35%",0.18393805649709,0.00547022920143281,0.110379607517439,0.718970499094601,0.272118111686827,-307.185787635469
"37.5%",0.18521572490336,0.00586294186902124,0.121867832221231,0.738843757858351,0.275175196410939,-307.088296141333
"40%",0.18635145906751,0.00628460200063704,0.135428516896233,0.755236294669729,0.277925949918011,-306.997461775637
"42.5%",0.187356857918861,0.00671278993923101,0.144807641079624,0.771534194141051,0.280543834248406,-306.912445067654
"45%",0.18852679470869,0.00715715483318935,0.157512601152464,0.791614486786685,0.283174492941061,-306.829541040583
"47.5%",0.189751189517833,0.00756169119532759,0.171233148125355,0.806561059498993,0.285743358508645,-306.747042423239
"50%",0.191015175683175,0.00797418786122319,0.188783683673388,0.820038140466942,0.288786429509216,-306.672494271014
"52.5%",0.192215910097635,0.00841845634015872,0.205193204781215,0.833587353507296,0.291680042191521,-306.601502474619
"55%",0.193358669119173,0.00889661875633826,0.222980666661092,0.845384679502981,0.294583239701274,-306.530032634244
"57.5%",0.194418652232018,0.0093603307821222,0.242352274913948,0.855779705905646,0.297296785846733,-306.462846560742
"60%",0.195578213682879,0.00985945315175172,0.265690010437275,0.867588435184352,0.300262569674119,-306.394238681995
"62.5%",0.196883388625894,0.0103394376566296,0.285501838718928,0.880111911990866,0.303527541668594,-306.326604296392
"65%",0.198143984525085,0.0108848639661478,0.310662041236225,0.89203848738803,0.306587636622327,-306.254488166085
"67.5%",0.19945679213655,0.0113795698486035,0.340536957185873,0.903031643435806,0.309905036032323,-306.187150841425
"70%",0.200849357713033,0.0119095885449801,0.371731946817345,0.913288713911937,0.313186485755381,-306.124256232556
"72.5%",0.202070808950049,0.0124923976086325,0.402049579931845,0.922528278397414,0.316836238560815,-306.058301906494
"75%",0.203586860085521,0.0131145033198458,0.437038617976426,0.930676671268574,0.321008366480775,-305.994614929647
"77.5%",0.205022378203279,0.0138057305747993,0.476331751570362,0.940002673079868,0.325178311871443,-305.926881178686
"80%",0.206869374032338,0.0145047258156687,0.516069934368803,0.948870370753787,0.328890415183147,-305.861581486136
"82.5%",0.208686043758554,0.0151943254918157,0.558273486651128,0.955558954941288,0.333462065161525,-305.794697218838
"85%",0.21061904313626,0.0160663877997564,0.609927065847078,0.963620318429725,0.338601732801679,-305.726167910985
"87.5%",0.21276018586927,0.0172622182814251,0.665041515840281,0.970661858412641,0.345271320410204,-305.660669017271
"90%",0.215413109853923,0.0184975156062717,0.725667974014265,0.976669916110873,0.352145145447493,-305.58647494229
"92.5%",0.218381978612593,0.0199059479751738,0.795146681666464,0.982917738134064,0.360050350410904,-305.505021969564
"95%",0.222458217472373,0.0220389905172392,0.859441250248838,0.990000962263616,0.370914859151817,-305.42246124283
"97.5%",0.228034046704451,0.0255027866660357,0.927872615394971,0.994769005099314,0.388836794766891,-305.316177581833
"100%",0.267866505248882,0.0476398739998196,0.999878609633423,0.999748728269233,0.523169531891639,-305.100926775011
