# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/out/VLD001.A0101.SG1.1_5M.mapped_a_kilianii_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/input/GCF_963519225.1_ERR9968767_bin.6_MetaWRAP_v1.3_MAG_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	34	4
+	47	2
+	29	1
+	30	9
+	37	1
+	31	3
+	56	1
+	33	6
+	35	3
+	45	2
+	36	4
+	43	1
+	44	1
+	52	1
+	46	1
+	32	5
+	54	2
+	42	2
+	41	1
+	67	1
+	48	1
+	40	1
+	69	1
+	49	1
+	58	1
+	65	2
-	43	1
-	42	4
-	36	7
-	33	5
-	32	3
-	45	2
-	94	1
-	38	3
-	57	1
-	31	5
-	34	3
-	44	2
-	35	3
-	37	1
-	71	1
-	30	7
-	39	4
-	40	1
-	52	1
-	51	1
-	49	1
-	46	2
-	54	1
-	58	1
-	63	1
-	41	1
-	61	1
