pos	3pG>A
1	0.06
2	0.0350877192982456
3	0.0357142857142857
4	0.0943396226415094
5	0.087719298245614
6	0.0909090909090909
7	0.0363636363636364
8	0.0151515151515152
9	0.0166666666666667
10	0.0166666666666667
11	0.0434782608695652
12	0.0447761194029851
13	0.037037037037037
14	0.0757575757575758
15	0.0394736842105263
16	0.0158730158730159
17	0.0579710144927536
18	0.0491803278688525
19	0.0153846153846154
20	0.0307692307692308
21	0.0579710144927536
22	0.0294117647058824
23	0.0307692307692308
24	0.025974025974026
25	0.028169014084507
