"","Position","C.T","G.A"
"1",1,0.592992366942515,0
"2",2,0.505248863955898,0
"3",3,0.46137672428993,0
"4",4,0.436896252917779,0
"5",5,0.421770545693793,0
"6",6,0.411691432703831,0
"7",7,0.404587124312223,0
"8",8,0.3993584607802,0
"9",9,0.395374979343245,0
"10",10,0.392252843897597,0
"11",11,0.38974741852303,0
"12",12,0.387696862809913,0
"13",-12,0,0.390355194301
"14",-11,0,0.392409203122864
"15",-10,0,0.394918813804822
"16",-9,0,0.398046137549901
"17",-8,0,0.402036186452802
"18",-7,0,0.407273302037757
"19",-6,0,0.414388601062555
"20",-5,0,0.424482086289026
"21",-4,0,0.439626622259466
"22",-3,0,0.464131183332055
"23",-2,0,0.508026901347993
"24",-1,0,0.595715838509734
