"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.141232949019495,0.0281736300992429,0.372027015723422,0.663666008390692,1.31688231925426,-50.6802237100853
"Std.",0.0716276196955333,0.0252689818002171,0.284356871408143,0.255041880082585,1.11159197647205,1.48665275572711
"Acceptance ratio",0.2821,0.16698,0.24456,0.24774,0.40272,0.80734
"0%",0.0134692523094568,2.0451910825621e-05,6.18243801035964e-05,0.000369261919620348,0.107881132161533,-59.4757418858119
"2.5%",0.0371959202115288,0.000853795413130908,0.0109282756709345,0.0849674997271415,0.304962766982192,-54.3687296628986
"5%",0.0464779327831789,0.00170736445900481,0.0214807573406975,0.166900057515298,0.363208390832176,-53.5440084700508
"7.5%",0.053227214314453,0.00259105412054573,0.0325043315003948,0.225154627300552,0.410696746474488,-53.0393307781996
"10%",0.0604203218977021,0.00352024857449416,0.0419156981811414,0.274126839383793,0.451953698437576,-52.6704436284322
"12.5%",0.0657802107893768,0.00432375520124912,0.0542550707309229,0.318421407784522,0.487452104664368,-52.401850397206
"15%",0.0708185361931288,0.00543829091764366,0.0658435398880773,0.358739173017217,0.522079873462819,-52.1628354273483
"17.5%",0.0753241544448031,0.00662107343847084,0.0787563253566238,0.395173640104384,0.557205988340575,-51.9602121030644
"20%",0.0797770748064795,0.00754155416306453,0.091359493534149,0.429730263542082,0.58737848756155,-51.7739731745716
"22.5%",0.0838866633354923,0.00853284468273926,0.107085922270925,0.45872856825119,0.618483551747491,-51.6167935289825
"25%",0.0874276528550433,0.00945853920399822,0.122894297283377,0.486711761384935,0.65512884945065,-51.4707200499362
"27.5%",0.0917034078427048,0.0104570957844497,0.137142732640754,0.521051264811518,0.684798953224231,-51.3288067097839
"30%",0.0960360783350317,0.0115440819452954,0.152965140907843,0.545388384575496,0.714134204532953,-51.1977507081842
"32.5%",0.100827574001831,0.0128131233280969,0.170054259048304,0.570660680250342,0.745849613700724,-51.07122520978
"35%",0.105213714809593,0.0136855227540175,0.185572031590342,0.596101225445371,0.780397416706242,-50.9581870943832
"37.5%",0.10908912026045,0.0149231843203016,0.203576576780005,0.618368010057553,0.811384521238482,-50.8443509398879
"40%",0.113463112405143,0.0161137486765632,0.222164030558451,0.639706571513728,0.844064897522853,-50.740328460116
"42.5%",0.117405618928402,0.0174058523541791,0.242918854197366,0.661503862029121,0.877766339971494,-50.6432812582917
"45%",0.121731927940985,0.0185680452848427,0.266116092763599,0.680574038878693,0.917325909743541,-50.5474940832625
"47.5%",0.126176906248336,0.0197536548987907,0.286811993331406,0.700960877565775,0.956013401968963,-50.4599469514699
"50%",0.130430083726869,0.0214290515056679,0.309735825922016,0.722478788892445,0.998220148464098,-50.3773942412
"52.5%",0.134876146631595,0.0227690337874905,0.333793280782819,0.739209781720443,1.04113903269512,-50.291301613443
"55%",0.139483260226488,0.0244373242468283,0.358916116204297,0.755129554056819,1.08395515848429,-50.2091859063227
"57.5%",0.143499777114702,0.0259069334698807,0.385787655479457,0.774022858830916,1.13340729733967,-50.1281054841614
"60%",0.147826345802012,0.0272146670272674,0.413102500200712,0.788361817617979,1.17665583128993,-50.0477228137761
"62.5%",0.152787726806472,0.0290766474760356,0.43754655087494,0.804397669143578,1.22859813849152,-49.9645699257459
"65%",0.157174192841364,0.0310910538905705,0.467534720850712,0.820424587315958,1.28663874841989,-49.8840198009698
"67.5%",0.163032726688686,0.033003430666395,0.494091484085643,0.835566081359216,1.3501012817143,-49.8058152760377
"70%",0.169271732317107,0.0348986108375142,0.524348507352314,0.849299457253651,1.41824544376274,-49.7329002691141
"72.5%",0.17454060196506,0.0369660017468389,0.557336914422411,0.86414881524826,1.49054344729718,-49.654939278011
"75%",0.180638104849848,0.0395753359874128,0.589631241291672,0.879625898452069,1.57967682546632,-49.5738138623053
"77.5%",0.187854902736075,0.0420580918634053,0.625038276890327,0.892078955024738,1.67644568337978,-49.5003778667934
"80%",0.196321594722007,0.044798915429192,0.659814171098443,0.905382013338416,1.78564858653232,-49.4272224049682
"82.5%",0.203792497072023,0.0482480249564594,0.69509610271123,0.919552542714991,1.91603500820736,-49.344684289566
"85%",0.213026696037658,0.052031959646469,0.732265434573335,0.932973023186954,2.06126897345765,-49.2620253157214
"87.5%",0.224313205824674,0.0566867176782735,0.771958341198513,0.941868300377196,2.25974618521482,-49.1761415209168
"90%",0.237281937737848,0.0617049868218373,0.815082374906014,0.954242210412331,2.50095810926701,-49.077323137634
"92.5%",0.254422274166234,0.069419465297288,0.862528304276501,0.966291368532552,2.84887326792788,-48.9700353724592
"95%",0.273804205247602,0.0791708587316924,0.908376326435901,0.977629106861181,3.33487705948929,-48.8533591078873
"97.5%",0.309175470279121,0.0947803836385473,0.950945612455954,0.989069067128769,4.3506659744394,-48.711003281393
"100%",0.586363879478512,0.242141720119774,0.99992278555283,0.999927837927012,13.6472700196028,-48.3098458871931
