pos	5pC>T
1	0.195165495352528
2	0.0913443076214127
3	0.0472313643974825
4	0.0535104582101971
5	0.0407605087761226
6	0.0383795931471266
7	0.0305150422474571
8	0.0291568824779157
9	0.031191697761194
10	0.0248715944618133
11	0.0257793925146261
12	0.0248083904800323
13	0.0258797989031079
14	0.0261125815165489
15	0.0265378604915471
16	0.0250056702200045
17	0.0280769230769231
18	0.0269522950199377
19	0.0248792956546436
20	0.0283195077734439
21	0.0261358368103848
22	0.0260281400724907
23	0.0269413192146481
24	0.0281877640794119
25	0.0282466414054426
