pos	3pG>A
1	0.203577355707173
2	0.12492898827661
3	0.0716325324931075
4	0.0536902825025884
5	0.0463044113350862
6	0.0404015181781862
7	0.033348154735438
8	0.0287745592544555
9	0.0261218028001781
10	0.0266851842666534
11	0.0248884714721766
12	0.0245015375458784
13	0.0243016348372527
14	0.0246549262256069
15	0.0244033909932866
16	0.0241350785849837
17	0.0225876571212551
18	0.0230444182389937
19	0.0243269701419481
20	0.0212176688729287
21	0.0209127333137887
22	0.0203513909224012
23	0.0202934451219512
24	0.021081531597784
25	0.0200797355114741
