"","Position","C.T","G.A"
"1",1,0.953672751299951,0.445480167979944
"2",2,0.919688837743366,0.468967717832853
"3",3,0.87054052894771,0.438792472479772
"4",4,0.810850226617633,0.391966732416636
"5",5,0.750963697662787,0.351878503548242
"6",6,0.699909480638664,0.330621913088531
"7",7,0.661314853173304,0.325830238235441
"8",8,0.633856495235832,0.331871655111532
"9",9,0.616092983886554,0.338711085969151
"10",10,0.604193821451174,0.347038224666715
"11",11,0.596477402814779,0.354167589593991
"12",12,0.59058697647725,0.362012222408013
"13",-12,0.373631945241665,0.587832790715036
"14",-11,0.373283979783893,0.590877566797125
"15",-10,0.370572059715276,0.597321675282643
"16",-9,0.366874854852319,0.608303250933883
"17",-8,0.362441635314268,0.626439503145197
"18",-7,0.359354567209763,0.654692341345071
"19",-6,0.36296106397783,0.695407581931861
"20",-5,0.380903961081838,0.748702104301482
"21",-4,0.414663098136819,0.810498363094414
"22",-3,0.456588594477798,0.871047181163413
"23",-2,0.493958373807897,0.920105336757945
"24",-1,0.50878309011942,0.953806077700328
