# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/mapDamage2_dsLibs/input/CDM020.A0101.SG1.1_5M.mapped_f_sp001717545_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/input/GCA_001717545.1_ASM171754v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	45	433
+	76	4921
+	78	269
+	40	405
+	72	440
+	58	377
+	54	370
+	47	461
+	64	355
+	46	435
+	60	420
+	91	208
+	59	363
+	75	1334
+	90	258
+	63	369
+	66	380
+	61	372
+	119	149
+	82	240
+	87	239
+	95	240
+	73	626
+	135	101
+	100	189
+	50	383
+	74	467
+	53	412
+	83	253
+	36	403
+	85	244
+	80	259
+	38	372
+	71	358
+	55	426
+	69	393
+	34	352
+	44	412
+	51	408
+	79	298
+	127	119
+	32	331
+	125	112
+	41	405
+	42	424
+	62	351
+	56	437
+	114	133
+	128	103
+	130	118
+	65	373
+	43	452
+	84	254
+	39	434
+	68	346
+	70	370
+	33	319
+	35	393
+	94	211
+	138	94
+	102	189
+	98	188
+	106	174
+	93	223
+	97	239
+	48	468
+	77	332
+	31	276
+	112	167
+	57	393
+	104	187
+	88	218
+	52	397
+	111	162
+	123	144
+	86	220
+	109	164
+	30	277
+	122	127
+	92	259
+	107	172
+	81	282
+	120	137
+	101	203
+	110	159
+	103	195
+	49	428
+	99	201
+	96	216
+	37	412
+	67	363
+	115	132
+	126	123
+	89	232
+	108	197
+	105	185
+	134	93
+	140	74
+	139	80
+	129	103
+	118	127
+	132	113
+	133	96
+	124	136
+	137	90
+	136	87
+	116	139
+	117	166
+	121	120
+	131	102
+	113	139
+	141	61
-	114	124
-	66	362
-	76	5105
-	131	116
-	99	215
-	75	1360
-	58	401
-	105	190
-	73	556
-	48	439
-	68	377
-	108	170
-	46	428
-	65	354
-	61	363
-	96	195
-	90	225
-	33	382
-	97	223
-	94	258
-	79	289
-	83	265
-	45	429
-	49	478
-	60	379
-	35	345
-	39	414
-	47	438
-	36	402
-	74	454
-	92	235
-	53	384
-	54	417
-	106	176
-	100	180
-	56	396
-	40	406
-	107	177
-	86	249
-	59	388
-	63	339
-	95	233
-	81	258
-	102	183
-	103	175
-	109	196
-	78	277
-	52	434
-	30	275
-	110	146
-	89	229
-	72	439
-	69	338
-	93	226
-	42	456
-	77	296
-	50	368
-	80	280
-	71	361
-	34	380
-	85	273
-	126	118
-	43	447
-	55	395
-	82	303
-	118	147
-	51	424
-	115	164
-	130	110
-	141	70
-	123	116
-	113	149
-	41	375
-	57	427
-	138	89
-	124	124
-	104	182
-	37	421
-	70	347
-	64	377
-	62	324
-	44	435
-	112	153
-	134	103
-	31	267
-	128	105
-	67	371
-	91	245
-	120	128
-	98	211
-	32	327
-	38	394
-	135	106
-	136	89
-	88	224
-	122	133
-	121	135
-	116	133
-	127	124
-	87	241
-	119	139
-	133	97
-	140	85
-	139	66
-	117	163
-	101	194
-	137	86
-	132	114
-	111	175
-	84	250
-	129	105
-	125	120
-	29	4
-	28	1
-	142	1
