"","Position","C.T","G.A"
"1",1,0.913634083372664,0.520905822372795
"2",2,0.85534533621249,0.529492623159723
"3",3,0.773533322039641,0.488447808299455
"4",4,0.676398288458193,0.426002739553013
"5",5,0.578290066584671,0.364898363048888
"6",6,0.49535337362894,0.311858571562311
"7",7,0.43306592794791,0.273421425743392
"8",8,0.388691407451656,0.250722038502355
"9",9,0.359201775392618,0.237857304776494
"10",10,0.338381961405782,0.233661575364627
"11",11,0.320402038525005,0.238168533855038
"12",12,0.304418633375001,0.246988189321852
"13",-12,0.217017853381803,0.329233046015118
"14",-11,0.227138088172101,0.330127963142251
"15",-10,0.237830740062354,0.336554804752893
"16",-9,0.250761679450013,0.351212235325171
"17",-8,0.265598135752286,0.380000233972629
"18",-7,0.280734799227046,0.430346455996686
"19",-6,0.307949914335841,0.49944444078292
"20",-5,0.357324174715931,0.583678750147896
"21",-4,0.414763227030232,0.681958740899877
"22",-3,0.466127644134512,0.779504940372789
"23",-2,0.500453415033628,0.85934745876648
"24",-1,0.497743057871114,0.915381429903049
