"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.093245518301673,0.0189826419378291,0.995389777595599,0.423980001254087,0.312196799855615,-1364.83074316017
"Std.",0.00157086746163785,0.0014844258528356,0.00450739445318303,0.00558731111016749,0.00691539488424014,1.67869329202602
"Acceptance ratio",0.23268,0.15222,0.19498,0.1617,0.1737,0.63602
"0%",0.0873442527679979,0.0130200767937789,0.961084729562354,0.402985148126245,0.290084820948063,-1376.34676963617
"2.5%",0.0901644654153477,0.0159955153897497,0.983210660812756,0.412945968800429,0.298987761990678,-1368.83793494407
"5%",0.0905754216468156,0.016506216336792,0.986204471448782,0.414645436963592,0.301048948088296,-1367.99573558453
"7.5%",0.0909515814166322,0.0168539709158109,0.988009901164634,0.415885660497068,0.302357679881099,-1367.47531566027
"10%",0.0911982826381608,0.0170902591453994,0.98932921360291,0.416783244035376,0.303328103897774,-1367.07416514495
"12.5%",0.0914301811622762,0.0172857939266161,0.990319494749799,0.4175711915709,0.304232485513124,-1366.7578126306
"15%",0.0916115467007785,0.0174617134365706,0.991178880626812,0.418233879446389,0.304958554151631,-1366.50157897087
"17.5%",0.0917549935129368,0.0176281115408058,0.991942843912311,0.418817800063341,0.305677920792282,-1366.27818170882
"20%",0.0919071159032997,0.0177649376403402,0.992522197397025,0.419261991940576,0.306311701137596,-1366.08935870069
"22.5%",0.0920373435344781,0.017886961333244,0.993057873993427,0.419748687873343,0.306868702664852,-1365.91020274211
"25%",0.0921782840073782,0.0180014015571711,0.993548579611368,0.420211062121791,0.307314273064252,-1365.74993151332
"27.5%",0.0922895526712222,0.0180868183153898,0.993987891855119,0.420677731769372,0.307883671948037,-1365.60045343417
"30%",0.0924031778851503,0.018185642682901,0.994359866987801,0.421046166462395,0.308370156601669,-1365.46444543413
"32.5%",0.0925284003574141,0.0182987814443785,0.994740608615915,0.421484476267773,0.30889627127502,-1365.33470561653
"35%",0.0926496931276058,0.0184027699158476,0.995100530642619,0.421843790250057,0.309331890631025,-1365.2025080745
"37.5%",0.0927495427850977,0.0185040203733247,0.995457874082196,0.422254117019847,0.309770350157078,-1365.08742822751
"40%",0.0928470478876693,0.018585995280881,0.995780990088912,0.422606729253223,0.310245289232735,-1364.97030600296
"42.5%",0.0929596043298623,0.0186991886240319,0.996045586922735,0.422939215594478,0.310723287060884,-1364.85048423164
"45%",0.0930679659678905,0.0187877326027052,0.996299741604206,0.423319298158538,0.31116202626096,-1364.73407905836
"47.5%",0.0931598990821688,0.0188923643041168,0.996542700518109,0.423728660352119,0.311603938394845,-1364.6224301948
"50%",0.093253986516525,0.0189821172147816,0.996802007639649,0.424108942153724,0.312055267479568,-1364.51749575205
"52.5%",0.0933522826137562,0.0190751362252238,0.997052295379816,0.424406034401402,0.312578446961327,-1364.42002475175
"55%",0.0934547772302646,0.0191795131073245,0.997270405176416,0.424750799776549,0.313036391220303,-1364.32407261018
"57.5%",0.0935466523911078,0.0192804944621666,0.997459290270535,0.425127237902209,0.313478069837068,-1364.22817767971
"60%",0.093662046991931,0.0193719023607946,0.997652915191601,0.425495276736717,0.313979288844969,-1364.1326897423
"62.5%",0.0937547422933342,0.019469193527076,0.997845311520613,0.425827545513195,0.314441029085559,-1364.03873633741
"65%",0.0938504199002736,0.0195684779023813,0.998009132678578,0.426169363116687,0.314857118574829,-1363.95101503602
"67.5%",0.0939694978203529,0.0196562024674212,0.998199235851189,0.426591819516818,0.315260919925248,-1363.86568671282
"70%",0.0940930195170258,0.0197420823494762,0.998363044324005,0.426970541945066,0.315756949723707,-1363.77354698705
"72.5%",0.0942137256162636,0.0198653388830964,0.998514468506671,0.427336158913644,0.316273153219452,-1363.68472587881
"75%",0.0943434601098569,0.0199814079888884,0.998644665413452,0.427758226612205,0.316831863153596,-1363.58816745702
"77.5%",0.0944584619810976,0.0201060192494678,0.998795008908617,0.428138047572802,0.317468029391228,-1363.49992082705
"80%",0.0945854287329073,0.0202261205071399,0.998935868736782,0.428601632105863,0.318114892319516,-1363.40191946658
"82.5%",0.0947240903014644,0.0203760875139224,0.999077837514375,0.429094352333222,0.318800835677916,-1363.30158194928
"85%",0.0948781361278436,0.0205297228484451,0.999214173350087,0.429721374921633,0.319508557505654,-1363.19515862972
"87.5%",0.0950472555420659,0.0207136676113751,0.999369079522984,0.430384887583544,0.320365619217226,-1363.08487810697
"90%",0.0952450984434918,0.0208638638968432,0.999497799806567,0.43097467378711,0.321290043119659,-1362.95989285043
"92.5%",0.095488220997528,0.0210619572165366,0.999635300964176,0.431969081076646,0.322316315065264,-1362.83615234172
"95%",0.095849946192412,0.0214128132352069,0.999758636076996,0.433101346131682,0.323591595151214,-1362.69383643386
"97.5%",0.0963191536884044,0.0218756158936381,0.999880153714126,0.434851675143627,0.325924777305881,-1362.49371803877
"100%",0.0996634347607907,0.0246024306889544,0.999997898974721,0.445432530153389,0.341484711528618,-1361.89801959905
