# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/mapDamage2_dsLibs/input/FUM002.A0101.SG1.1_5M.mapped_f_sp001717545_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/input/GCA_001717545.1_ASM171754v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	30	331
+	55	89
+	38	254
+	32	368
+	34	325
+	42	254
+	40	225
+	33	346
+	72	36
+	43	242
+	59	73
+	48	171
+	37	285
+	46	192
+	36	253
+	44	203
+	41	204
+	68	44
+	31	370
+	54	106
+	39	246
+	58	77
+	85	13
+	61	60
+	47	171
+	53	95
+	52	130
+	56	88
+	35	256
+	65	51
+	74	29
+	67	48
+	81	19
+	97	14
+	62	46
+	50	131
+	51	97
+	94	9
+	45	218
+	100	5
+	76	52
+	119	1
+	105	6
+	49	148
+	75	24
+	57	62
+	69	50
+	64	72
+	63	53
+	87	9
+	73	34
+	80	16
+	82	21
+	113	3
+	60	56
+	83	15
+	138	1
+	77	25
+	103	3
+	91	19
+	70	45
+	128	2
+	66	42
+	86	17
+	78	24
+	92	10
+	107	7
+	93	8
+	115	6
+	88	12
+	98	7
+	71	26
+	99	8
+	90	10
+	89	11
+	84	16
+	96	8
+	102	11
+	116	3
+	79	22
+	125	1
+	118	2
+	121	3
+	122	1
+	101	3
+	117	3
+	108	5
+	106	4
+	95	3
+	27	1
+	104	4
+	112	4
+	130	1
+	114	3
+	131	1
+	29	1
+	110	4
+	124	1
+	109	2
+	129	1
+	123	1
+	111	1
-	30	384
-	47	190
-	56	91
-	33	333
-	37	225
-	93	7
-	53	108
-	45	197
-	31	368
-	32	323
-	35	272
-	34	300
-	46	197
-	40	230
-	48	154
-	41	189
-	81	13
-	44	232
-	43	253
-	65	55
-	98	6
-	42	252
-	36	251
-	71	50
-	57	98
-	75	22
-	51	127
-	59	70
-	49	154
-	39	207
-	38	241
-	55	96
-	62	58
-	54	90
-	61	57
-	74	33
-	82	18
-	50	131
-	63	39
-	76	48
-	52	118
-	60	82
-	73	39
-	58	71
-	83	14
-	69	41
-	87	8
-	88	13
-	77	29
-	68	48
-	119	1
-	64	58
-	103	3
-	100	11
-	111	2
-	72	33
-	79	22
-	70	43
-	67	31
-	89	16
-	94	3
-	97	8
-	95	8
-	135	2
-	66	48
-	109	3
-	101	5
-	117	5
-	90	15
-	85	18
-	108	12
-	99	3
-	86	14
-	118	2
-	102	6
-	92	9
-	120	1
-	130	1
-	113	4
-	104	3
-	80	17
-	28	1
-	78	17
-	123	3
-	84	13
-	124	1
-	91	10
-	134	2
-	96	9
-	112	1
-	106	4
-	128	1
-	129	2
-	121	1
-	126	2
-	122	1
-	131	1
-	115	1
-	116	1
-	110	1
-	105	3
-	29	1
-	107	1
-	133	1
-	139	1
