pos	3pG>A
1	0.0348471865181377
2	0.035606936416185
3	0.0339786645594627
4	0.0353839037927845
5	0.0292747837658017
6	0.0281873373807459
7	0.0319853781128627
8	0.028078250863061
9	0.0394295302013423
10	0.0291638186375028
11	0.0229219726788608
12	0.0280981337806668
13	0.0261873058144696
14	0.0246721493665259
15	0.0298665536962508
16	0.0321656752588676
17	0.0240480961923848
18	0.0313725490196078
19	0.0272153276725452
20	0.0226195605342525
21	0.027492130115425
22	0.0311938958707361
23	0.0215987530616789
24	0.0282920740586644
25	0.0257491675915649
