# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/mapDamage2_ssLibs/input/FUM003.A0102.SG1.4_5M.mapped_f_sp001717545_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/input/GCA_001717545.1_ASM171754v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	34	54
+	44	22
+	32	94
+	35	60
+	31	130
+	37	44
+	38	35
+	77	1
+	50	11
+	74	3
+	30	114
+	42	26
+	39	36
+	40	37
+	54	13
+	33	68
+	36	58
+	58	6
+	82	2
+	56	1
+	84	1
+	46	12
+	41	31
+	45	16
+	48	12
+	43	24
+	55	6
+	59	2
+	47	20
+	65	2
+	63	2
+	60	4
+	49	11
+	90	2
+	53	4
+	29	2
+	52	9
+	57	5
+	51	9
+	69	1
+	78	1
+	68	1
+	28	1
+	127	1
+	73	1
+	88	1
+	62	1
+	76	1
+	71	1
+	64	2
-	32	90
-	36	48
-	33	60
-	31	101
-	30	100
-	38	41
-	41	22
-	35	57
-	37	33
-	34	74
-	42	26
-	51	13
-	46	9
-	29	3
-	48	9
-	39	21
-	43	27
-	47	14
-	57	4
-	59	4
-	58	6
-	45	20
-	64	2
-	40	26
-	50	10
-	61	8
-	68	3
-	44	22
-	63	3
-	60	2
-	70	1
-	52	7
-	53	3
-	62	2
-	65	3
-	49	8
-	88	1
-	67	2
-	69	3
-	79	1
-	76	2
-	56	3
-	55	4
-	54	3
-	28	1
-	74	1
-	66	1
-	80	1
-	72	1
-	89	1
-	100	1
