pos	3pG>A
1	0.494449703123655
2	0.32069910184832
3	0.187526406448048
4	0.132647912198814
5	0.0952066011589821
6	0.0698623481781376
7	0.0506491836997043
8	0.0427505362699779
9	0.0340416168982209
10	0.0267294146596537
11	0.0247855383062721
12	0.0232354230600614
13	0.0201787524186861
14	0.0211456339272567
15	0.0206548812344329
16	0.0211721479339839
17	0.0196654545454545
18	0.0184004372381126
19	0.0192296154076918
20	0.0177339901477833
21	0.0167320183184172
22	0.0154297869790574
23	0.0162627643790184
24	0.0151593089049593
25	0.013581684128832
