pos	5pC>T
1	0.474866008462623
2	0.277194127243067
3	0.153118609406953
4	0.120669559023506
5	0.0877264849535214
6	0.067827534329887
7	0.0524808249260049
8	0.040508412582297
9	0.0313277289757879
10	0.0248070219123506
11	0.0228971266934643
12	0.0214652356509566
13	0.0194911840352019
14	0.0204897551224388
15	0.0201125817739236
16	0.0200108985226447
17	0.0195647716955159
18	0.0194062888504806
19	0.0179031967852216
20	0.0177526788300029
21	0.0175077862780079
22	0.0167369018799127
23	0.0151147493056571
24	0.0140750873993008
25	0.0138625770560818
