"","Position","C.T","G.A"
"1",1,0.970619400460653,0
"2",2,0.955972119329484,0
"3",3,0.935671213223311,0
"4",4,0.909155888559729,0
"5",5,0.877085235988112,0
"6",6,0.841712266792002,0
"7",7,0.806453323441833,0
"8",8,0.774681750421652,0
"9",9,0.74855262727083,0
"10",10,0.728631386412856,0
"11",11,0.714302712620559,0
"12",12,0.704422894186127,0
"13",-12,0.704422894186127,0
"14",-11,0.714302712620559,0
"15",-10,0.728631386412856,0
"16",-9,0.74855262727083,0
"17",-8,0.774681750421652,0
"18",-7,0.806453323441833,0
"19",-6,0.841712266792002,0
"20",-5,0.877085235988112,0
"21",-4,0.909155888559729,0
"22",-3,0.935671213223311,0
"23",-2,0.955972119329484,0
"24",-1,0.970619400460653,0
