"","Position","C.T","G.A"
"1",1,0.74926449253417,0.571190119082531
"2",2,0.629581576090038,0.440557023305159
"3",3,0.492139481088909,0.325144351520699
"4",4,0.362356808484285,0.228144386824175
"5",5,0.254756034469822,0.157947158026217
"6",6,0.178290482870854,0.107296887307759
"7",7,0.127396117469389,0.0739646725129159
"8",8,0.0925038552567569,0.0559065512707498
"9",9,0.0715873689762424,0.0441183562794599
"10",10,0.0594504320018486,0.0364094262828087
"11",11,0.0509793889810109,0.0330654181724855
"12",12,0.0448535086983159,0.032186513000327
"13",-12,0.0381727082443053,0.0390902795808025
"14",-11,0.03931547198318,0.045115824799615
"15",-10,0.0427759120017472,0.0536234209922296
"16",-9,0.0493691638126235,0.0669662762382012
"17",-8,0.0606347407338,0.0886111976863886
"18",-7,0.08071406597603,0.122072518066621
"19",-6,0.113844580373696,0.17364523722003
"20",-5,0.162898665017585,0.252114907066844
"21",-4,0.221197169885525,0.368631986457674
"22",-3,0.280828822721149,0.516391984613599
"23",-2,0.347733800866908,0.663227629770527
"24",-1,0.424374946343178,0.78328070315143
