# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/mapDamage2_dsLibs/input/GOY005.A0101.SG1.2_5M.mapped_f_sp001717545_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/input/GCA_001717545.1_ASM171754v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	71	7
+	55	17
+	37	64
+	31	86
+	46	49
+	54	22
+	49	32
+	38	39
+	43	53
+	84	6
+	44	40
+	32	75
+	98	1
+	40	49
+	77	5
+	42	44
+	36	60
+	73	11
+	92	6
+	59	17
+	34	90
+	72	6
+	109	2
+	75	7
+	33	62
+	35	51
+	45	47
+	61	15
+	63	7
+	86	2
+	56	31
+	80	10
+	48	36
+	65	11
+	30	60
+	95	4
+	39	54
+	51	23
+	50	32
+	62	8
+	41	35
+	111	2
+	58	16
+	52	30
+	53	16
+	83	9
+	47	35
+	64	14
+	57	18
+	70	10
+	81	6
+	76	19
+	68	9
+	67	13
+	87	2
+	69	11
+	97	7
+	82	4
+	102	1
+	74	7
+	66	13
+	107	2
+	93	6
+	118	2
+	108	2
+	60	12
+	79	3
+	94	5
+	90	3
+	105	2
+	89	3
+	120	2
+	28	1
+	117	1
+	101	1
+	78	1
+	123	1
+	110	1
+	114	1
-	48	37
-	33	65
-	56	14
-	31	75
-	79	13
-	55	21
-	51	27
-	35	73
-	57	14
-	30	83
-	45	46
-	62	14
-	87	4
-	52	29
-	37	50
-	40	46
-	47	36
-	34	58
-	43	43
-	32	77
-	67	9
-	38	51
-	71	9
-	42	51
-	68	11
-	78	6
-	65	17
-	83	4
-	41	52
-	36	48
-	73	8
-	72	12
-	50	36
-	60	5
-	49	38
-	44	45
-	46	35
-	63	12
-	59	23
-	80	5
-	85	4
-	91	4
-	61	9
-	76	17
-	88	4
-	54	21
-	105	2
-	53	22
-	98	2
-	58	17
-	96	3
-	74	3
-	69	8
-	39	49
-	75	3
-	29	1
-	94	2
-	89	2
-	82	6
-	70	4
-	134	1
-	64	16
-	138	1
-	97	2
-	104	4
-	66	11
-	77	3
-	117	1
-	100	2
-	126	1
-	28	1
-	90	4
-	102	1
-	86	3
-	84	4
-	95	2
-	109	1
-	92	3
-	116	1
-	93	1
-	114	1
-	120	1
-	101	1
-	103	1
