pos	3pG>A
1	0.0406654343807763
2	0.0351437699680511
3	0.0323033707865169
4	0.0340909090909091
5	0.0312035661218425
6	0.0252225519287834
7	0.0282131661442006
8	0.0162962962962963
9	0.0216138328530259
10	0.024024024024024
11	0.0359937402190923
12	0.023448275862069
13	0.0367231638418079
14	0.0328102710413695
15	0.0224719101123595
16	0.0213068181818182
17	0.0246238030095759
18	0.0294117647058824
19	0.0283159463487332
20	0.0298719772403983
21	0.0312925170068027
22	0.031700288184438
23	0.0298913043478261
24	0.0296610169491525
25	0.0302158273381295
