# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/mapDamage2_ssLibs/input/GOY005.A0103.SG1.4_5M.mapped_f_sp001717545_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/flexilinea_sp001717545/input/GCA_001717545.1_ASM171754v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	38	49
+	35	61
+	32	123
+	41	40
+	47	26
+	33	103
+	45	32
+	30	131
+	49	23
+	39	34
+	37	58
+	34	81
+	31	115
+	40	45
+	42	46
+	43	38
+	44	36
+	46	38
+	52	16
+	50	14
+	60	13
+	63	10
+	67	7
+	36	55
+	64	6
+	58	7
+	59	9
+	55	9
+	68	3
+	54	9
+	48	20
+	57	7
+	51	15
+	84	3
+	56	8
+	71	3
+	66	3
+	29	1
+	70	3
+	53	15
+	85	1
+	97	2
+	74	5
+	83	1
+	73	2
+	86	1
+	78	1
+	62	4
+	79	2
+	65	3
+	94	1
+	82	2
+	72	1
+	89	1
+	96	1
+	91	2
+	77	2
+	76	1
+	105	1
+	102	1
+	122	1
+	81	1
+	69	1
-	37	62
-	30	132
-	33	85
-	43	49
-	36	59
-	71	3
-	56	14
-	47	28
-	48	18
-	34	84
-	39	46
-	38	49
-	31	109
-	55	10
-	35	71
-	45	29
-	42	33
-	58	14
-	51	12
-	32	98
-	49	23
-	44	35
-	41	34
-	101	1
-	66	5
-	72	6
-	59	10
-	85	1
-	65	9
-	81	2
-	50	14
-	52	17
-	40	44
-	64	6
-	57	4
-	99	1
-	46	23
-	62	5
-	60	17
-	69	5
-	54	9
-	79	3
-	53	10
-	75	2
-	89	3
-	68	2
-	61	7
-	63	5
-	76	2
-	67	2
-	91	2
-	136	1
-	73	3
-	83	1
-	29	1
-	92	2
-	106	1
-	95	1
-	78	1
-	70	1
-	82	1
-	86	1
-	105	1
