pos	5pC>T
1	0.0900289732174405
2	0.062281679672984
3	0.0425516059318876
4	0.0398400362182147
5	0.0386641929499072
6	0.0354727190741019
7	0.0319993948105
8	0.0282461757381715
9	0.0272228320526894
10	0.0262924011257591
11	0.0240632277185802
12	0.02701317715959
13	0.0211570730283797
14	0.0215346017144052
15	0.0198265179677819
16	0.0210871944545786
17	0.0208888265806813
18	0.0197281893906181
19	0.0181765515243682
20	0.0190818194620476
21	0.018560467665327
22	0.0164693772516727
23	0.0170723104056437
24	0.0167419808874731
25	0.0160254043275977
