"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0537624097642407,0.0208694263279647,0.243236711576926,0.607270377850239,0.258438624113661,-1685.55124445626
"Std.",0.000593883430755024,0.000530750977944827,0.0258374597565289,0.0367306123647163,0.00429860778767955,1.58659692422679
"Acceptance ratio",0.21654,0.23566,0.26066,0.20294,0.24352,0.73378
"0%",0.0515178614895885,0.0185389483815954,0.166879940729379,0.479310320746562,0.241979453393695,-1699.45000513951
"2.5%",0.052624011424948,0.0198002334293468,0.200256571310106,0.537253450216238,0.250242256256516,-1689.50617360214
"5%",0.052795810740146,0.0199785678857643,0.205433195805383,0.547822156917499,0.251494666382576,-1688.50019384898
"7.5%",0.0529076180717461,0.020098750533906,0.20944158611354,0.554882162506525,0.252336238005096,-1687.97514094394
"10%",0.0529947067731681,0.020189594095179,0.212539142004112,0.560758880435772,0.252939635078656,-1687.60603867666
"12.5%",0.0530656693683676,0.0202579387627125,0.215449324699945,0.565161931110713,0.253490381902785,-1687.32278122839
"15%",0.0531492790158119,0.0203236604461755,0.21764440005306,0.569048812074936,0.254016461960376,-1687.06825883202
"17.5%",0.0532157458901292,0.020380365195238,0.219547400833251,0.572842786453275,0.254431612788206,-1686.8552290293
"20%",0.0532635835941078,0.020432168355277,0.221545827011299,0.576323067675733,0.2548177006569,-1686.67658435474
"22.5%",0.0533127053865105,0.0204775228578598,0.223102320475165,0.579311143854824,0.255139601195035,-1686.51426105445
"25%",0.0533516967533609,0.0205185766156983,0.224851290974559,0.582306105423227,0.2555088152082,-1686.36471340528
"27.5%",0.0533930261191045,0.0205600955298364,0.226610475083625,0.584919521809167,0.25586008877048,-1686.22058910833
"30%",0.0534371966234853,0.0205969994278149,0.228406054444074,0.58758709050906,0.25614142009361,-1686.09798778744
"32.5%",0.0534841793528156,0.0206410394593686,0.229887910007129,0.589905009384161,0.256417375610618,-1685.97379121511
"35%",0.0535229294088606,0.0206761771332258,0.231323531848664,0.592351653099967,0.256721755233791,-1685.85777735413
"37.5%",0.0535659587761902,0.0207122224046162,0.232980896415209,0.594647052985577,0.256969146870009,-1685.73633454558
"40%",0.0536022214394536,0.0207447942419975,0.234316584903336,0.596688991425078,0.257245654515986,-1685.63234924385
"42.5%",0.0536434514022984,0.0207800275518765,0.235890113035661,0.599331691521391,0.257514761115978,-1685.53092519264
"45%",0.0536857224359254,0.0208109375818247,0.237456903288732,0.601747650424246,0.257811349484547,-1685.43129287894
"47.5%",0.0537193955216983,0.0208387926755889,0.239020776333113,0.604061152893671,0.258079721346211,-1685.3301634422
"50%",0.0537585430523094,0.0208714771783445,0.240381765819185,0.6061693248866,0.258355669904883,-1685.23067284222
"52.5%",0.0537970164451785,0.0209062958808028,0.242054558471927,0.60882779553232,0.258622337616888,-1685.1415832648
"55%",0.0538338980435893,0.0209396787676454,0.24378336030312,0.610955561739781,0.258889184263052,-1685.05310764272
"57.5%",0.053868906103966,0.0209723920262862,0.245463508350068,0.613303901126651,0.259141179296848,-1684.96947208161
"60%",0.0539080719355835,0.0210047231274123,0.247407265764894,0.615627608207414,0.259453518253786,-1684.88797417349
"62.5%",0.0539499779633502,0.0210419187645888,0.249065916943421,0.618070619278475,0.259765440805023,-1684.80724965246
"65%",0.0539900409362587,0.0210772132548491,0.25081776468723,0.62058230283055,0.260038360477887,-1684.72849923252
"67.5%",0.0540329265826439,0.0211118653949475,0.252915227541322,0.623541601569217,0.260313372552431,-1684.64712563982
"70%",0.0540741670543656,0.0211503530752945,0.25477202607554,0.62678268824525,0.260651185977847,-1684.56526479072
"72.5%",0.0541175308426739,0.0211868256619306,0.257029587108028,0.629941472834392,0.260971884576495,-1684.48466608337
"75%",0.0541666002170528,0.0212264984016582,0.259061196197684,0.632920985063337,0.261291381595894,-1684.40092673001
"77.5%",0.0542137626124526,0.0212643103788141,0.261172725330362,0.635538987005144,0.261631471815477,-1684.32206209954
"80%",0.0542662847134922,0.0213111348099082,0.26360173090456,0.638767971988471,0.262025217574375,-1684.23104809295
"82.5%",0.0543233674953848,0.0213618813279455,0.26657866738623,0.64240724945967,0.26249571028222,-1684.13861737899
"85%",0.0543787121908371,0.0214199945655865,0.269950166115063,0.64665817197573,0.262909137375948,-1684.05124652109
"87.5%",0.0544443905142954,0.0214784248802483,0.273590985897921,0.651050991368139,0.263490441319653,-1683.95319261938
"90%",0.0545365898828605,0.0215409249162953,0.277651376907667,0.655457722278854,0.263993108870304,-1683.84998284764
"92.5%",0.0546293497096368,0.0216301009134041,0.282544994185222,0.660999716282221,0.264716291340382,-1683.7411231708
"95%",0.0547477525913154,0.0217299237298496,0.288481080492529,0.666915216265875,0.265611319725617,-1683.61074965739
"97.5%",0.0549313455566843,0.021885544044777,0.297228201863222,0.677503803395696,0.267207409899833,-1683.44343256044
"100%",0.0560557462793556,0.023018169489385,0.408377108068405,0.767394000159327,0.274798694627948,-1683.03609370973
