"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0380590366970648,0.0219313766022397,0.998971136086507,0.460728649526353,0.225510962731425,-2019.98098261039
"Std.",0.000451052033071248,0.000486120848468137,0.000992189002507808,0.00238135890280318,0.00388831478118899,1.74222649991803
"Acceptance ratio",0.29944,0.2202,0.17396,0.28254,0.2116,0.74344
"0%",0.0362775862358205,0.0200059185288278,0.991065682880262,0.450499292509076,0.211621929320443,-2031.42360300793
"2.5%",0.0371828496946227,0.0209574289749725,0.996293502757183,0.455960464504944,0.217982857503251,-2024.25421753355
"5%",0.0373200195400537,0.0211242456075968,0.996940827627395,0.456809321282049,0.219113070049566,-2023.30730437841
"7.5%",0.0374184923586317,0.021231019506819,0.997358672321703,0.457331704271676,0.219942578023113,-2022.72612899109
"10%",0.037489070891659,0.0213075215168907,0.997657966881683,0.457692944512203,0.220535207160142,-2022.32843920345
"12.5%",0.0375476312617654,0.0213770295427764,0.997858178325976,0.457987297052856,0.221070006714336,-2022.00543530788
"15%",0.0375902177546282,0.0214334861860028,0.998030486350766,0.458259781486785,0.221449680788617,-2021.73542348197
"17.5%",0.0376341338250545,0.0214825420392647,0.998199036101775,0.458514826663711,0.22185783471064,-2021.49424091982
"20%",0.0376739664824864,0.0215252575275064,0.998335321828856,0.458727334198084,0.222225247738494,-2021.28141995591
"22.5%",0.0377122362108484,0.0215669857505385,0.99846027562414,0.458901406152105,0.222548755025147,-2021.10869340725
"25%",0.0377454526811333,0.0216080532989175,0.998570967491893,0.459084566571544,0.222891525497118,-2020.9302222618
"27.5%",0.0377799755363388,0.0216443199231504,0.998663493623633,0.459287430604844,0.22319772317155,-2020.76234110033
"30%",0.0378122500076067,0.0216769526428218,0.99875616723194,0.459465840560168,0.223505984779894,-2020.61647643234
"32.5%",0.037843853549649,0.0217165350511465,0.99882962500684,0.459641537174884,0.223783924531905,-2020.4706657091
"35%",0.0378763293414006,0.0217475997135014,0.99890650448225,0.459818172593292,0.223995332233589,-2020.34095357382
"37.5%",0.0379074522348989,0.0217772022287182,0.998981907700897,0.460005475520345,0.224232104106776,-2020.20472937413
"40%",0.0379357577118579,0.0218085560470305,0.999049947143687,0.460149227493584,0.224493981969611,-2020.07940115042
"42.5%",0.0379639552365317,0.0218412235475955,0.999109573214488,0.460311592334514,0.224716155558686,-2019.96580977204
"45%",0.0379903382133905,0.0218756432762007,0.999174327059595,0.460464090251355,0.224968132250839,-2019.85461381603
"47.5%",0.0380219988506154,0.0219062814242294,0.99922677140497,0.460611629923091,0.225205016076493,-2019.75242040068
"50%",0.0380536351547458,0.0219375055255738,0.999277406505804,0.460767782019226,0.225472019230955,-2019.65566264122
"52.5%",0.0380824640129928,0.0219677395927551,0.999328725856552,0.460903778506973,0.225720075480377,-2019.55566985799
"55%",0.0381123854265865,0.0219964321554781,0.999373779085859,0.461039865211731,0.225971260302038,-2019.46416439101
"57.5%",0.0381432409827716,0.0220246874752745,0.999420810045273,0.461209483208005,0.226236559005599,-2019.36932252823
"60%",0.0381747873631596,0.0220595064691047,0.999458393915463,0.461345290504082,0.226445564297214,-2019.276390338
"62.5%",0.0382097411676811,0.0220895532538383,0.999492830764684,0.461486420558881,0.226739220479782,-2019.18177505319
"65%",0.0382386172872301,0.0221197561616578,0.999540348777285,0.461656688610526,0.226977919310647,-2019.08537257612
"67.5%",0.0382730072776646,0.0221511947688183,0.999580722901766,0.461826662234578,0.227264506930361,-2018.99181463332
"70%",0.0382990042385937,0.0221864151167321,0.999616799681078,0.461993000494292,0.227565741638299,-2018.89202331415
"72.5%",0.0383279022483038,0.0222172393431618,0.999661392514112,0.462147329179497,0.227847305834436,-2018.79251672779
"75%",0.0383674247292777,0.0222582298939017,0.999696515826837,0.46234020369263,0.228125583652629,-2018.69479571912
"77.5%",0.0384033551011558,0.0222991204712202,0.999727005869539,0.462521617726071,0.228384263646938,-2018.59976747825
"80%",0.0384409387307612,0.0223395745811803,0.999759660544504,0.462718880545194,0.228727089364282,-2018.50231778873
"82.5%",0.0384868066668159,0.0223863139906959,0.99979485216148,0.462926893673286,0.229141334970036,-2018.39024967495
"85%",0.0385307052324655,0.0224307394695573,0.999825224090813,0.463184468209123,0.229542821858103,-2018.28725979258
"87.5%",0.0385795403633063,0.0224865755441672,0.999851052573434,0.46346622842595,0.230011704751046,-2018.1798014084
"90%",0.0386427265484709,0.0225532298995049,0.999879328766601,0.463748857713637,0.230546966977891,-2018.05095562587
"92.5%",0.0387140067686502,0.0226361159256733,0.999904649377368,0.464144298925824,0.231149126179869,-2017.91589561956
"95%",0.0388065703484722,0.0227180910394618,0.999936819033867,0.464628333380424,0.231867061963991,-2017.76243536424
"97.5%",0.0389452480181229,0.0228662785486355,0.999968637439295,0.465338650899919,0.2332841617231,-2017.56300265635
"100%",0.0396479021417561,0.0237927463040244,0.999999292021108,0.470314750385114,0.242030539808591,-2016.96541007562
