pos	5pC>T
1	0.297131864288213
2	0.155571839242433
3	0.0656672432570953
4	0.0604491618665459
5	0.0457727517501346
6	0.040912667191188
7	0.0328478462968702
8	0.0342793268335093
9	0.0346257652557435
10	0.0296890028855402
11	0.0320733104238259
12	0.0303147574819401
13	0.0315530841846631
14	0.0342307452058217
15	0.0359568001034728
16	0.035514379463424
17	0.0378195257160456
18	0.0373124759584562
19	0.0358264436326347
20	0.0381468036670153
21	0.0374934452018878
22	0.0397316142612814
23	0.0376612953015991
24	0.039997411170798
25	0.0367585630743525
