"","Position","C.T","G.A"
"1",1,0.951045470749251,0
"2",2,0.910072282979543,0
"3",3,0.850193797279707,0
"4",4,0.780346838047074,0
"5",5,0.717422141904158,0
"6",6,0.67262521829566,0
"7",7,0.64580139623654,0
"8",8,0.631371902753492,0
"9",9,0.624055011603132,0
"10",10,0.620455808662894,0
"11",11,0.618711793044458,0
"12",12,0.617872869581077,0
"13",-12,0.617872869581077,0
"14",-11,0.618711793044458,0
"15",-10,0.620455808662894,0
"16",-9,0.624055011603132,0
"17",-8,0.631371902753492,0
"18",-7,0.64580139623654,0
"19",-6,0.67262521829566,0
"20",-5,0.717422141904158,0
"21",-4,0.780346838047074,0
"22",-3,0.850193797279707,0
"23",-2,0.910072282979543,0
"24",-1,0.951045470749251,0
