pos	5pC>T
1	0.250074890659637
2	0.125380746617553
3	0.067292092826409
4	0.0546973739643309
5	0.0483870967741935
6	0.0434332988624612
7	0.0358333333333333
8	0.0331060054293849
9	0.0288958389991841
10	0.029113753039719
11	0.0264618562024009
12	0.0276429341963323
13	0.0256904745505889
14	0.0257448079092296
15	0.0256906446016282
16	0.0240988254353989
17	0.0230117340286832
18	0.0222501821071452
19	0.0205404667667531
20	0.0201686121919585
21	0.0192435743774138
22	0.0185926579358078
23	0.0194758512515522
24	0.018951912052337
25	0.0174904942965779
