"","Position","C.T","G.A"
"1",1,0.94442369679857,0.556214459758189
"2",2,0.895116418534559,0.53446273542092
"3",3,0.820888927730332,0.474084737007402
"4",4,0.733087539954428,0.404873551516495
"5",5,0.652597239464183,0.350487043697099
"6",6,0.59322824644628,0.317460750871102
"7",7,0.554047488017513,0.304910552868736
"8",8,0.528982447417266,0.305195957242994
"9",9,0.512319927713989,0.312122267398493
"10",10,0.502645384138851,0.317506058266875
"11",11,0.497316291852472,0.320933096743378
"12",12,0.494136814140879,0.323552126316635
"13",-12,0.328573166946947,0.493181251579982
"14",-11,0.325876215413559,0.496508214095369
"15",-10,0.325640115049419,0.500224791773489
"16",-9,0.326168917152414,0.507083151366005
"17",-8,0.318334325809376,0.524983350784349
"18",-7,0.310098575569435,0.554266199842878
"19",-6,0.314929465733773,0.596579149715769
"20",-5,0.339573264789682,0.658054066166488
"21",-4,0.383403895800638,0.739377054790214
"22",-3,0.441720212097819,0.826096264289699
"23",-2,0.494107512674462,0.898159553942569
"24",-1,0.500128065367433,0.945906296281405
