pos	3pG>A
1	0.0222598596661021
2	0.0209396966333703
3	0.0162277030072767
4	0.0172618631630442
5	0.0170974690360797
6	0.0171504838171505
7	0.0157447973713034
8	0.0171726049624772
9	0.0167962060334607
10	0.0152096372568814
11	0.0152646089704795
12	0.0149051490514905
13	0.0149574082768797
14	0.0142346398305085
15	0.0165632794014197
16	0.0153350006581545
17	0.0138031720751211
18	0.0168275336550673
19	0.0147983237297014
20	0.0162920601143769
21	0.0160115493142595
22	0.0160642570281124
23	0.0158359293873313
24	0.0173901842071364
25	0.0147502294480136
