"","Position","C.T","G.A"
"1",1,0.21180290553223,0
"2",2,0.113161907446813,0
"3",3,0.0800981230113105,0
"4",4,0.0651778157475443,0
"5",5,0.0571318236787038,0
"6",6,0.0522510564337455,0
"7",7,0.0490267600182493,0
"8",8,0.0467569613909659,0
"9",9,0.0450798958532961,0
"10",10,0.0437931939535126,0
"11",11,0.0427759620287252,0
"12",12,0.041952003251759,0
"13",-12,0,0.0419855404540399
"14",-11,0,0.0428099204059991
"15",-10,0,0.0438276782730433
"16",-9,0,0.0451150530024696
"17",-8,0,0.0467930051951384
"18",-7,0,0.0490640159870252
"19",-6,0,0.0522900487017612
"20",-5,0,0.0571734591479443
"21",-4,0,0.065223807419228
"22",-3,0,0.0801520751195452
"23",-2,0,0.113232860206251
"24",-1,0,0.211918854190287
