"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.144569526783341,0.00134254363518253,0.329919898512956,0.840071696360623,0.575525727789115,-381.056734329231
"Std.",0.0112945152626265,0.00130141520045763,0.280091582963823,0.164133213251566,0.0607657208905668,1.49363566131465
"Acceptance ratio",0.22742,0.24864,0.21452,0.22872,0.1855,0.71918
"0%",0.104845409000214,5.2695550307731e-08,2.77454489057138e-05,0.00302225705628534,0.383754286418596,-394.638108101598
"2.5%",0.123154998021631,3.50948175945234e-05,0.00512110954138778,0.368666913264704,0.46569266801487,-384.734321398277
"5%",0.126614965239992,6.77730403916721e-05,0.0109430007307589,0.492264245847383,0.481319899258511,-383.937478973236
"7.5%",0.128614196164066,0.000108174664507405,0.0179056368922799,0.566437684752075,0.491803532550435,-383.40628164576
"10%",0.130264603141691,0.000142714788584518,0.0266381907046217,0.619729077199273,0.499205112754377,-383.046474549768
"12.5%",0.131571799331147,0.000176522689273701,0.0342642290415962,0.661748369737085,0.506526169002581,-382.748622206078
"15%",0.132850880414839,0.000222984795200754,0.0421831780325036,0.695555547008723,0.512357591059299,-382.517830708554
"17.5%",0.133827240672297,0.000258779174639358,0.0517786357814824,0.721512629074913,0.517959314371229,-382.314175461751
"20%",0.134904555906682,0.000296644214904625,0.0620274679482923,0.746474342208148,0.523229619705255,-382.131080852933
"22.5%",0.135836400453342,0.000339953923523754,0.072456425369005,0.769890907210767,0.527937200367705,-381.966653363256
"25%",0.136793691362354,0.000387842455148745,0.0850685869735947,0.786134894135706,0.532380677960149,-381.815060207596
"27.5%",0.137658397372871,0.00042813543860793,0.0998089313471954,0.803439834330233,0.536818579858647,-381.682542217927
"30%",0.138509495531156,0.000473559986160211,0.115784263344267,0.817957219236501,0.540665930185956,-381.564998225094
"32.5%",0.139272239107403,0.000524007672905715,0.129499524587361,0.832694424564848,0.545170341631008,-381.440566875626
"35%",0.139943760954928,0.000577840890649137,0.145358706301505,0.843304493262721,0.549379253995817,-381.323815082656
"37.5%",0.140600592070719,0.000634417623401868,0.159452111786199,0.85342918661289,0.552856781863765,-381.218565410136
"40%",0.141343118681915,0.00069004922956139,0.175220893603941,0.863838858202143,0.557066425853538,-381.120923261148
"42.5%",0.14204487989556,0.000748878070747907,0.192834306913076,0.873517918219287,0.560812244394769,-381.017925355471
"45%",0.142791025653768,0.000816923124947248,0.212766395805167,0.881535960488582,0.564518128921272,-380.917723956525
"47.5%",0.143505785260072,0.000885496192802589,0.232377250366215,0.889018734733133,0.568426239691502,-380.82935875684
"50%",0.144340626621356,0.000955358542622364,0.253977625131645,0.895569349449805,0.572722487584661,-380.745300428163
"52.5%",0.145011394478117,0.00102725337021746,0.274971223503367,0.902684876670377,0.576791268399188,-380.661287421249
"55%",0.14574892931317,0.0010921648442596,0.297129308367908,0.909251922592477,0.580391405303083,-380.575658470906
"57.5%",0.146479554945698,0.00116485618921486,0.322557909946012,0.915823489136361,0.583659804064115,-380.493757780678
"60%",0.147201849080709,0.00125224194307933,0.345138036282934,0.921359703868212,0.587831077327307,-380.414575757803
"62.5%",0.147911293533997,0.00134378263465921,0.370716197065105,0.926102339782623,0.591493109318975,-380.331393847989
"65%",0.148629619657012,0.0014443887629127,0.400046363197216,0.931724454327876,0.595466389571898,-380.252828634298
"67.5%",0.149390117179913,0.00153383017720992,0.428942580192142,0.93744961883085,0.599963299398666,-380.177465691491
"70%",0.150178539911659,0.0016336719928032,0.459347641925945,0.941920236805162,0.605138467428819,-380.101630153359
"72.5%",0.151175254625045,0.00174763431338421,0.492561398544696,0.947045583283139,0.610264573921456,-380.024033764492
"75%",0.152235191909226,0.00189425883564822,0.525692523297276,0.951796511211264,0.61625072901305,-379.950731769677
"77.5%",0.153207795976697,0.00203898401102351,0.561078440722296,0.956174101661882,0.62186221230684,-379.873243222289
"80%",0.154193981777622,0.00219740708198377,0.604702470989659,0.961520520198849,0.627353440435807,-379.79906806055
"82.5%",0.155264900906016,0.00237704480819027,0.643328802637346,0.965362174001987,0.633066375029691,-379.723450362809
"85%",0.156279526194312,0.00256116217639776,0.684867678647019,0.969810357270925,0.639092166305541,-379.646103665065
"87.5%",0.157532529521993,0.00282854280592817,0.73243501573252,0.975689550503355,0.646414662931269,-379.559777928697
"90%",0.159172236297755,0.00311318087152943,0.779365433635287,0.979211838423595,0.655330105906673,-379.469240066548
"92.5%",0.160959654663074,0.00347512002423875,0.832475622001884,0.984103735824192,0.665297425425826,-379.370710783368
"95%",0.163566260946338,0.00396225156939428,0.882585710272824,0.989053976875022,0.679337337547027,-379.270272692343
"97.5%",0.167420853569162,0.00479721141446491,0.942300393852025,0.99419591797878,0.700845877469818,-379.136764353707
"100%",0.207720345121708,0.0130313596686604,0.999934648175666,0.999978977470255,0.846570316479318,-378.717985364276
