# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/mapDamage2_ssLibs/input/BAN001.A0102.SG1.4_5M.mapped_l_mirabilis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/input/GCF_900637555.1_51726_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	60	1
+	30	31
+	34	8
+	36	7
+	33	11
+	32	15
+	47	2
+	35	9
+	43	2
+	45	6
+	46	1
+	39	2
+	37	3
+	38	5
+	40	2
+	48	1
+	41	1
+	50	1
+	31	6
+	42	2
-	43	4
-	33	14
-	31	19
-	29	2
-	30	26
-	45	3
-	34	10
-	35	6
-	37	4
-	44	3
-	40	3
-	49	2
-	36	3
-	32	14
-	65	1
-	42	5
-	53	2
-	39	1
-	76	1
-	48	1
-	83	1
-	41	1
-	47	2
-	46	1
-	38	1
