pos	3pG>A
1	0.32094175960347
2	0.242767295597484
3	0.173431734317343
4	0.119189511323004
5	0.102137767220903
6	0.0972222222222222
7	0.0783847980997625
8	0.0600490196078431
9	0.051605504587156
10	0.0359628770301624
11	0.0537240537240537
12	0.0449704142011834
13	0.037125748502994
14	0.0340775558166862
15	0.0265700483091787
16	0.0299043062200957
17	0.0308571428571429
18	0.0241254523522316
19	0.0289855072463768
20	0.0252403846153846
21	0.0218390804597701
22	0.0219907407407407
23	0.0245040840140023
24	0.0299043062200957
25	0.0144284128745838
