pos	5pC>T
1	0.372413793103448
2	0.203262233375157
3	0.13189448441247
4	0.126340882002384
5	0.109356014580802
6	0.0948813982521848
7	0.0634920634920635
8	0.0534883720930233
9	0.0392638036809816
10	0.0445486518171161
11	0.0428571428571429
12	0.0297619047619048
13	0.0375
14	0.0377358490566038
15	0.0321469575200918
16	0.0341176470588235
17	0.0243337195828505
18	0.0405561993047509
19	0.0196304849884527
20	0.0256983240223464
21	0.0212053571428571
22	0.0176678445229682
23	0.0249110320284698
24	0.0212765957446809
25	0.0282167042889391
