# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/out/CDM020.A0101.SG1.1_5M.mapped_l_mirabilis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/input/GCF_900637555.1_51726_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	36	851
+	99	76
+	76	928
+	57	474
+	62	381
+	89	101
+	34	759
+	81	155
+	65	379
+	35	828
+	47	778
+	77	213
+	78	190
+	93	101
+	43	922
+	33	778
+	58	450
+	41	719
+	56	506
+	48	741
+	64	388
+	111	39
+	49	757
+	32	759
+	50	690
+	30	698
+	61	387
+	52	597
+	45	808
+	39	747
+	98	81
+	69	348
+	46	834
+	55	537
+	68	345
+	66	396
+	96	78
+	31	765
+	59	419
+	74	273
+	72	278
+	67	332
+	71	309
+	44	812
+	38	859
+	108	56
+	40	745
+	86	124
+	60	430
+	73	290
+	53	547
+	42	884
+	85	145
+	51	658
+	63	352
+	97	95
+	117	34
+	37	807
+	106	51
+	54	619
+	80	164
+	100	80
+	104	48
+	70	316
+	110	37
+	82	151
+	101	69
+	90	110
+	123	31
+	79	178
+	141	13
+	137	10
+	87	126
+	84	146
+	75	353
+	103	51
+	119	27
+	136	22
+	105	65
+	102	63
+	120	25
+	91	119
+	92	88
+	109	37
+	122	28
+	88	114
+	94	107
+	135	11
+	95	115
+	127	39
+	125	25
+	115	32
+	124	22
+	83	126
+	113	45
+	114	39
+	126	23
+	107	42
+	112	41
+	128	17
+	118	40
+	132	15
+	134	9
+	131	16
+	138	9
+	121	30
+	133	19
+	129	20
+	139	18
+	116	25
+	130	15
+	140	14
+	29	3
+	28	2
-	98	72
-	32	761
-	40	734
-	41	752
-	36	801
-	68	398
-	43	884
-	54	555
-	50	675
-	42	895
-	74	238
-	31	717
-	55	513
-	70	316
-	35	776
-	65	378
-	82	167
-	38	830
-	39	804
-	69	338
-	58	456
-	44	814
-	33	806
-	73	291
-	51	630
-	66	401
-	30	685
-	61	362
-	59	432
-	46	826
-	52	635
-	71	282
-	34	821
-	67	359
-	48	770
-	53	596
-	63	314
-	60	393
-	49	695
-	57	496
-	45	847
-	56	470
-	72	273
-	62	369
-	37	795
-	75	350
-	84	130
-	78	196
-	100	74
-	94	91
-	118	32
-	76	888
-	85	114
-	47	811
-	64	426
-	83	143
-	93	104
-	87	129
-	103	65
-	120	32
-	131	17
-	81	178
-	80	174
-	112	40
-	92	123
-	105	63
-	109	43
-	99	89
-	95	109
-	125	17
-	86	111
-	91	106
-	110	43
-	107	40
-	113	36
-	123	27
-	79	189
-	138	15
-	135	12
-	89	121
-	77	212
-	119	32
-	127	17
-	115	32
-	108	47
-	97	84
-	102	65
-	101	68
-	117	32
-	90	127
-	111	27
-	114	37
-	104	46
-	88	98
-	96	116
-	128	22
-	136	18
-	121	18
-	132	15
-	130	15
-	133	17
-	140	9
-	122	23
-	116	29
-	129	20
-	134	13
-	141	9
-	124	13
-	106	56
-	137	16
-	126	19
-	139	9
