"","Position","C.T","G.A"
"1",1,0.897106908915071,0
"2",2,0.869192253307005,0
"3",3,0.8370842372757,0
"4",4,0.801733245863234,0
"5",5,0.764636856514499,0
"6",6,0.727618319413676,0
"7",7,0.692483471006711,0
"8",8,0.66068530418004,0
"9",9,0.633120127605973,0
"10",10,0.610101378714367,0
"11",11,0.591471154816741,0
"12",12,0.576770459244491,0
"13",-12,0.576770459244491,0
"14",-11,0.591471154816741,0
"15",-10,0.610101378714367,0
"16",-9,0.633120127605973,0
"17",-8,0.66068530418004,0
"18",-7,0.692483471006711,0
"19",-6,0.727618319413676,0
"20",-5,0.764636856514499,0
"21",-4,0.801733245863234,0
"22",-3,0.8370842372757,0
"23",-2,0.869192253307005,0
"24",-1,0.897106908915071,0
