# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/mapDamage2_ssLibs/input/CDM020.A0102.SG1.4_5M.mapped_l_mirabilis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/input/GCF_900637555.1_51726_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	35	887
+	70	135
+	67	165
+	37	892
+	39	769
+	42	816
+	31	1030
+	49	504
+	79	67
+	45	703
+	60	212
+	48	602
+	43	728
+	46	587
+	54	351
+	34	914
+	36	965
+	58	255
+	30	1010
+	66	189
+	32	960
+	55	324
+	59	245
+	57	282
+	91	40
+	61	198
+	44	735
+	38	868
+	50	498
+	76	184
+	40	725
+	33	1027
+	41	698
+	80	77
+	51	472
+	56	319
+	53	407
+	47	619
+	73	120
+	90	22
+	65	201
+	82	59
+	52	386
+	64	221
+	62	185
+	123	4
+	101	20
+	96	26
+	136	5
+	71	134
+	85	48
+	88	35
+	63	178
+	72	98
+	111	9
+	97	25
+	94	38
+	83	68
+	84	47
+	108	11
+	89	35
+	74	96
+	81	59
+	93	39
+	78	77
+	68	171
+	128	4
+	69	155
+	75	93
+	87	35
+	86	38
+	125	8
+	106	8
+	121	8
+	92	31
+	112	8
+	114	8
+	98	27
+	119	6
+	102	12
+	104	15
+	117	4
+	120	2
+	95	27
+	132	4
+	100	14
+	124	8
+	116	6
+	77	76
+	118	8
+	105	10
+	103	14
+	107	17
+	113	13
+	99	18
+	122	4
+	141	5
+	127	4
+	115	5
+	109	9
+	110	13
+	130	2
+	29	4
+	129	6
+	131	3
+	28	3
+	134	2
+	126	7
+	138	1
+	135	3
+	137	1
+	139	1
+	133	1
-	34	944
-	54	347
-	30	1028
-	91	35
-	42	838
-	46	630
-	40	692
-	44	756
-	43	768
-	58	299
-	36	903
-	32	1036
-	37	840
-	41	708
-	47	611
-	49	532
-	38	807
-	60	248
-	39	743
-	45	669
-	113	6
-	31	1014
-	52	433
-	81	61
-	33	930
-	70	135
-	71	137
-	76	203
-	61	225
-	48	579
-	35	903
-	67	172
-	50	459
-	51	460
-	96	21
-	74	119
-	64	194
-	65	202
-	83	54
-	59	290
-	85	57
-	53	363
-	106	14
-	57	261
-	88	30
-	121	12
-	93	36
-	56	301
-	69	155
-	63	195
-	102	15
-	66	197
-	62	200
-	68	170
-	82	44
-	55	314
-	94	33
-	75	120
-	72	108
-	78	54
-	79	74
-	73	105
-	90	45
-	100	20
-	114	7
-	84	49
-	117	13
-	95	31
-	77	88
-	80	62
-	110	5
-	86	34
-	140	3
-	92	43
-	99	18
-	87	49
-	103	17
-	105	11
-	97	25
-	89	35
-	127	7
-	98	8
-	104	18
-	111	10
-	109	9
-	131	5
-	123	8
-	119	10
-	112	8
-	116	9
-	130	3
-	118	7
-	115	9
-	29	4
-	101	14
-	124	7
-	126	1
-	128	2
-	108	14
-	139	1
-	107	8
-	122	3
-	125	5
-	135	4
-	120	4
-	134	3
-	129	2
-	132	2
