# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/mapDamage2_ssLibs/input/FUM002.A0102.SG1.5_5M.mapped_l_mirabilis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/input/GCF_900637555.1_51726_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	41	97
+	32	384
+	46	70
+	33	286
+	40	113
+	31	395
+	43	83
+	42	116
+	35	247
+	30	463
+	36	203
+	50	37
+	44	100
+	51	38
+	34	262
+	38	142
+	45	92
+	47	68
+	54	29
+	53	20
+	48	63
+	66	3
+	56	14
+	59	7
+	37	141
+	52	36
+	39	117
+	62	4
+	68	3
+	49	49
+	73	3
+	60	11
+	55	16
+	74	2
+	61	8
+	64	7
+	63	6
+	57	11
+	78	2
+	65	8
+	86	1
+	72	3
+	75	2
+	112	1
+	69	4
+	58	8
+	71	4
+	79	3
+	67	4
+	105	1
+	123	1
+	88	1
+	94	3
+	29	4
+	107	1
+	76	1
+	80	2
+	28	1
+	96	1
+	108	1
+	106	1
-	36	165
-	31	391
-	32	332
-	45	72
-	52	29
-	30	386
-	37	175
-	41	97
-	44	104
-	34	221
-	39	115
-	33	291
-	42	124
-	35	208
-	46	52
-	56	27
-	50	55
-	43	94
-	53	22
-	55	24
-	60	9
-	48	51
-	38	164
-	58	13
-	76	2
-	61	11
-	40	108
-	57	7
-	85	1
-	66	7
-	47	61
-	54	21
-	77	2
-	65	3
-	49	39
-	51	37
-	29	4
-	86	1
-	62	5
-	59	9
-	91	1
-	95	1
-	63	3
-	78	1
-	69	4
-	73	4
-	68	6
-	98	1
-	89	1
-	64	9
-	74	2
-	71	5
-	67	4
-	72	3
-	70	3
-	82	1
-	75	1
-	83	1
-	112	1
-	99	1
