"","Position","C.T","G.A"
"1",1,0.750370769568211,0.262288684099126
"2",2,0.50825307743754,0.192571055282743
"3",3,0.26685880166413,0.107575094784813
"4",4,0.116968315669241,0.050847337690518
"5",5,0.0472785388692763,0.0221393827620226
"6",6,0.0186486162174088,0.00967065143735539
"7",7,0.00752208207295961,0.00450145914835256
"8",8,0.00338527570081492,0.00229845592362814
"9",9,0.00187737417243152,0.00135416322389602
"10",10,0.00133393083352362,0.000949563414660081
"11",11,0.00111209863299539,0.00080435636510534
"12",12,0.000985319300129466,0.000788772435746895
"13",-12,0.00083586666714543,0.000938392614720207
"14",-11,0.000886288669349925,0.00103044520931356
"15",-10,0.00102611118878295,0.00125774685391494
"16",-9,0.00140282956470142,0.00182921518432383
"17",-8,0.00236508187446751,0.00331976891087968
"18",-7,0.00461632455590852,0.00741069578818668
"19",-6,0.00963660817697112,0.0186903538844569
"20",-5,0.0205233256397657,0.0488258182256259
"21",-4,0.0432460657169483,0.123465359259159
"22",-3,0.0871467663740099,0.280105977541653
"23",-2,0.160892688540479,0.519404772202553
"24",-1,0.257758791101156,0.751037657680638
