pos	3pG>A
1	0.0301535087719298
2	0.032301180663845
3	0.0227645611156686
4	0.0264685395867193
5	0.0230804387568556
6	0.0272108843537415
7	0.0203488372093023
8	0.020983606557377
9	0.0198815566835871
10	0.02054325496462
11	0.0236290682122158
12	0.0244965746315134
13	0.0228685612788632
14	0.022376710840756
15	0.0212765957446809
16	0.019299023957409
17	0.0204653166738475
18	0.0219280099296649
19	0.02211900022119
20	0.019934282584885
21	0.0238044177568089
22	0.0198127585456129
23	0.0202542555483732
24	0.0217526413921691
25	0.0191238603513453
