# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/out/GDN001.A0101.SG1.1_5M.mapped_l_mirabilis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/input/GCF_900637555.1_51726_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	35	7
+	34	5
+	33	6
+	46	7
+	31	9
+	57	4
+	43	5
+	37	5
+	38	5
+	42	12
+	51	3
+	101	1
+	30	17
+	47	2
+	44	4
+	54	2
+	50	3
+	62	2
+	49	5
+	36	6
+	39	1
+	66	1
+	63	1
+	45	5
+	58	1
+	41	3
+	52	1
+	32	4
+	40	3
+	53	1
+	67	1
-	47	8
-	36	12
-	31	6
-	70	2
-	37	7
-	46	5
-	32	11
-	30	13
-	54	1
-	38	3
-	50	2
-	41	4
-	33	7
-	44	4
-	55	2
-	49	4
-	48	1
-	34	12
-	43	5
-	52	1
-	53	2
-	51	2
-	35	6
-	39	3
-	72	1
-	45	3
-	66	2
-	42	4
-	76	2
-	40	4
-	29	1
-	73	1
