pos	3pG>A
1	0.0472972972972973
2	0.0273972602739726
3	0.0351758793969849
4	0.0105820105820106
5	0.025974025974026
6	0.0320855614973262
7	0.0238095238095238
8	0.021978021978022
9	0.00520833333333333
10	0.0186335403726708
11	0.00564971751412429
12	0.028735632183908
13	0.00632911392405063
14	0.0105263157894737
15	0.0154639175257732
16	0
17	0.0189873417721519
18	0.0157068062827225
19	0.00628930817610063
20	0.0223463687150838
21	0.0310880829015544
22	0.0178571428571429
23	0
24	0.00526315789473684
25	0
