pos	5pC>T
1	0.183783783783784
2	0.0829493087557604
3	0.0289017341040462
4	0.0292397660818713
5	0.0476190476190476
6	0.0327868852459016
7	0.0158730158730159
8	0.0416666666666667
9	0
10	0.0157068062827225
11	0.0186915887850467
12	0.0225988700564972
13	0.0186335403726708
14	0.0176991150442478
15	0.0255102040816327
16	0.0227272727272727
17	0.0148514851485149
18	0.0148514851485149
19	0.0157068062827225
20	0.0226244343891403
21	0.010989010989011
22	0.0050251256281407
23	0.0307692307692308
24	0.024390243902439
25	0.0230414746543779
