"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.150076605159135,1.24225323060429e-05,0.767444100480799,0.35985801786576,0.168234970795164,6964.71141512621
"Std.",0.000573578273383647,1.26308527913072e-05,0.00561706778274416,0.00208039577535126,0.00102043075104221,1.74689104762147
"Acceptance ratio",0.21066,0.15486,0.22474,0.17546,0.23854,0.67702
"0%",0.147878640226118,3.00457469130984e-09,0.74663516626224,0.351976893903934,0.164130272107081,6951.53945553872
"2.5%",0.148930663238488,2.96772218082995e-07,0.756465826884247,0.355686833233427,0.166261898159638,6960.41637904188
"5%",0.149130692652201,4.90517341160461e-07,0.758222255021473,0.35644320792763,0.166568792576509,6961.32627301957
"7.5%",0.149242202456499,7.61498172612169e-07,0.759332625759702,0.356876429011373,0.166773027211923,6961.9452677983
"10%",0.149343426642713,1.11931169641906e-06,0.760223807900585,0.357205571060999,0.166925605933756,6962.37357575325
"12.5%",0.149421795320364,1.48218477900672e-06,0.760945164712231,0.357488492147032,0.167057733364842,6962.72467243692
"15%",0.149495195773957,1.85492949853953e-06,0.761644648695073,0.357728855022582,0.167176979374377,6963.00749075871
"17.5%",0.149553262725687,2.26955110118685e-06,0.762195995240416,0.357965269879262,0.167279450748296,6963.23495924846
"20%",0.149606510022112,2.56568195669059e-06,0.762709745502128,0.358145924508585,0.167377020352323,6963.43932215634
"22.5%",0.149650865418111,2.91723112544508e-06,0.763199069592026,0.358299008127943,0.167453798523167,6963.63709337006
"25%",0.14969633654988,3.34401605829053e-06,0.763665358999992,0.358468482887045,0.167530337236865,6963.81204912563
"27.5%",0.149742060287916,3.72892483074725e-06,0.764070538594996,0.358618625668822,0.167611427845697,6963.96160129444
"30%",0.149784520287928,4.22665745073861e-06,0.764464828085843,0.35878522706381,0.16769387457359,6964.09917107468
"32.5%",0.149824330169136,4.61529477172691e-06,0.764873501909957,0.358930040022252,0.167767850480389,6964.24204250425
"35%",0.149860540985076,5.18625875892156e-06,0.765240356607016,0.359079041331531,0.167837385651813,6964.37649948137
"37.5%",0.149897900235181,5.71049049372381e-06,0.765627589040118,0.359214622118628,0.167913499386708,6964.50001492312
"40%",0.149942972166622,6.18051457104496e-06,0.766037571988292,0.359346562363484,0.167980352935816,6964.61206814467
"42.5%",0.149977773958733,6.78691975504728e-06,0.7664094207441,0.359470111965562,0.168042317619421,6964.72365606565
"45%",0.150011393614734,7.29599085524024e-06,0.766724851667541,0.359591762424629,0.16810934126061,6964.82992456563
"47.5%",0.150042022738311,7.9737232357671e-06,0.767099441250523,0.359719405074155,0.16817002427793,6964.94531830109
"50%",0.15007667428123,8.62646731818622e-06,0.767484142327253,0.359845186430179,0.168230357525432,6965.05126008633
"52.5%",0.150112507746637,9.20094255312007e-06,0.767809227644359,0.359968977330354,0.168292305545603,6965.14841219744
"55%",0.150143642194288,9.99063540150848e-06,0.768131258382937,0.360098937222233,0.168353909974315,6965.24381836658
"57.5%",0.150180754738543,1.0788889571566e-05,0.768496827261005,0.36022838312658,0.168421336708709,6965.33448157171
"60%",0.15021627118801,1.15628409598042e-05,0.768873248723594,0.360375102076453,0.168480728741521,6965.43114416322
"62.5%",0.150252466698215,1.2350254109678e-05,0.769284300467408,0.360529062235458,0.168544965214401,6965.5227119306
"65%",0.15029528473484,1.31648489197884e-05,0.769632395359045,0.360695609852951,0.168618221560646,6965.61525109378
"67.5%",0.150331713671893,1.40620690947555e-05,0.770033399234966,0.360847660700245,0.16868724960012,6965.70558358311
"70%",0.150371900459357,1.51192606619909e-05,0.770450207219012,0.360976551659064,0.168767186182895,6965.80190743611
"72.5%",0.1504122488911,1.62595725088294e-05,0.770859392237136,0.361127990637142,0.168841851208262,6965.89570613369
"75%",0.150459487002632,1.75582511682645e-05,0.771318889269035,0.361286345253719,0.168915241354145,6965.98685446469
"77.5%",0.150505777919359,1.87067998874568e-05,0.771733467144646,0.361439460208662,0.169000380841398,6966.07989857353
"80%",0.150557559261328,2.01645611661964e-05,0.772214341854653,0.361600699488148,0.169094254122864,6966.1738222629
"82.5%",0.150610699499539,2.18550093481488e-05,0.772717902091628,0.36179954670844,0.169197575760082,6966.27814287185
"85%",0.150668191556158,2.37636585004063e-05,0.773353651125885,0.361993466513159,0.169316781100679,6966.38792904609
"87.5%",0.150737519057454,2.60599814970182e-05,0.773831303480611,0.362248058344083,0.169430366003664,6966.49443791363
"90%",0.15081175081748,2.88323944595036e-05,0.774595881536782,0.362511180443501,0.169556792084402,6966.61084784056
"92.5%",0.150909860288673,3.25052342791847e-05,0.775539178770784,0.362824577668468,0.169704593224575,6966.75128313353
"95%",0.151021921685198,3.69726876496451e-05,0.77650970995566,0.363228592366552,0.169927195239898,6966.90525906788
"97.5%",0.151206999623063,4.49990444755669e-05,0.778283183426817,0.363931352460686,0.170242114514339,6967.10113570365
"100%",0.152267367264081,0.000143323379800409,0.789570270213341,0.36899707261558,0.172343394706492,6967.6362168421
