pos	3pG>A
1	0.0255909282457955
2	0.0234780871186892
3	0.0205000450220608
4	0.0211080080535169
5	0.0182952316645767
6	0.0194702846370183
7	0.0192804547216122
8	0.0175758739915482
9	0.0183961532495734
10	0.0178841390845637
11	0.0169292711536633
12	0.0184080812998235
13	0.0172040989000658
14	0.0173615471555946
15	0.019130852629366
16	0.0168143817964674
17	0.0173439358837894
18	0.0179019625631256
19	0.0160118279908144
20	0.0171118267348614
21	0.0177750722873231
22	0.0157114687360855
23	0.0171878956697898
24	0.0181493693094165
25	0.017634300443215
