pos	5pC>T
1	0.216813780101123
2	0.137356057116536
3	0.0920701486847122
4	0.0913434513771782
5	0.0814680561848663
6	0.0701096364685516
7	0.0553736517719569
8	0.0523162225004471
9	0.0475168035847647
10	0.0451600609756098
11	0.0343511450381679
12	0.036474449132677
13	0.03271117952665
14	0.0295825771324864
15	0.032484311554079
16	0.0254922476933321
17	0.0264487097070438
18	0.0271698113207547
19	0.0239794461889809
20	0.0256222547584187
21	0.0225962432583225
22	0.0234329797492768
23	0.0233775949130353
24	0.0245535714285714
25	0.0228852838933951
