# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/mapDamage2_ssLibs/input/GOY006.A0102.SG1.5_5M.mapped_l_mirabilis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/input/GCF_900637555.1_51726_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	31	1384
+	33	1064
+	40	474
+	63	34
+	36	735
+	46	311
+	48	217
+	34	961
+	32	1260
+	74	12
+	45	347
+	30	1470
+	52	135
+	37	680
+	39	518
+	44	428
+	41	441
+	42	478
+	50	188
+	54	88
+	35	889
+	58	66
+	38	607
+	47	226
+	43	475
+	57	73
+	53	120
+	49	219
+	51	160
+	64	38
+	56	82
+	71	16
+	59	54
+	55	98
+	79	8
+	68	34
+	69	23
+	65	26
+	60	45
+	94	3
+	78	7
+	62	34
+	72	16
+	70	27
+	89	1
+	75	15
+	82	5
+	80	5
+	77	6
+	66	31
+	91	1
+	28	1
+	61	42
+	67	23
+	76	14
+	85	4
+	73	9
+	87	2
+	136	1
+	88	1
+	104	1
+	97	1
+	93	2
+	114	2
+	103	1
+	132	1
+	29	5
+	95	1
+	83	3
+	84	5
+	90	4
+	86	3
+	100	1
+	108	1
+	81	3
+	98	1
+	92	1
+	110	1
-	74	12
-	41	379
-	36	770
-	48	239
-	61	48
-	47	295
-	42	493
-	44	396
-	43	429
-	37	743
-	46	326
-	32	1294
-	30	1447
-	39	533
-	57	59
-	34	1040
-	40	449
-	66	40
-	33	1125
-	31	1317
-	38	635
-	35	881
-	68	22
-	49	203
-	58	54
-	56	84
-	45	313
-	63	43
-	91	1
-	54	101
-	67	33
-	76	13
-	52	145
-	83	4
-	50	164
-	60	63
-	84	2
-	55	109
-	51	163
-	69	26
-	53	130
-	70	22
-	79	11
-	62	36
-	59	55
-	71	15
-	77	9
-	64	34
-	85	3
-	73	19
-	65	31
-	81	3
-	87	4
-	117	1
-	82	5
-	100	2
-	80	9
-	90	5
-	94	2
-	89	3
-	78	6
-	92	4
-	29	7
-	72	14
-	101	1
-	86	8
-	99	4
-	96	3
-	110	3
-	115	1
-	75	4
-	95	1
-	103	1
-	106	1
-	125	1
-	28	2
-	93	2
-	119	1
-	116	1
