"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.127425051042366,2.99042697141219e-05,0.999503378387956,0.404098396840679,0.17724576041364,-650.274632384232
"Std.",0.00118196256722196,3.00530622803631e-05,0.000498994187828358,0.00247932282196382,0.00269120108201189,1.90258711529321
"Acceptance ratio",0.22666,0.18232,0.16482,0.18318,0.16386,0.6392
"0%",0.122217535721181,3.64224023455208e-09,0.995239635419678,0.394425833305063,0.166732782270098,-665.508062918267
"2.5%",0.125093774616566,7.92233129620086e-07,0.998146097698245,0.399260392916622,0.172095959637115,-654.88059680841
"5%",0.125478814916519,1.41656926964455e-06,0.998517239857294,0.400065728112676,0.172852683538899,-653.862939404469
"7.5%",0.125723690177558,2.25968935239791e-06,0.998704411469462,0.400531471442891,0.173441164813477,-653.266350005703
"10%",0.125917353718298,3.19995836642539e-06,0.998853017256719,0.400952309754464,0.173840242442867,-652.811200895979
"12.5%",0.126061230309898,4.09939477568696e-06,0.998972825328506,0.401259212596439,0.174193129374125,-652.435022166979
"15%",0.126184713259794,4.91603707958471e-06,0.999063320553263,0.401526088364057,0.174501535081482,-652.152530042067
"17.5%",0.12631634275496,5.80595590118426e-06,0.999141857488191,0.401767903458075,0.174792218735779,-651.899957394882
"20%",0.126440806580232,6.65313981802389e-06,0.99920944895936,0.401970294709106,0.175044137398313,-651.680402186216
"22.5%",0.126544001766159,7.61001153712522e-06,0.99926167810144,0.402202041529642,0.175260448987686,-651.477430011674
"25%",0.126645748517082,8.44478682573884e-06,0.9993114244521,0.402407686426812,0.175453494297764,-651.28702742144
"27.5%",0.126742688970723,9.49525321832023e-06,0.999355791058223,0.402599753612552,0.175621552919545,-651.127277637482
"30%",0.126816859039644,1.04947776213731e-05,0.999398581439547,0.402773965488785,0.175830139427898,-650.968521200971
"32.5%",0.126904024285189,1.15194317471798e-05,0.999438706266422,0.402968005912853,0.17603294880092,-650.816815379391
"35%",0.126979684237479,1.26055092120357e-05,0.999481008998494,0.403134037895867,0.176203548063415,-650.67754158052
"37.5%",0.12705942671466,1.38299508367508e-05,0.999514885432541,0.403294118598457,0.176376349815765,-650.539960838291
"40%",0.127138344044679,1.49032158416549e-05,0.999546119755937,0.403464199023071,0.176531577457833,-650.417205632713
"42.5%",0.127220669214886,1.60556416766503e-05,0.999574859879511,0.40360175285163,0.176675013868805,-650.286291114932
"45%",0.127284193890864,1.74108730836764e-05,0.999602276138769,0.403778528014447,0.176820382599047,-650.16447756354
"47.5%",0.127356961632049,1.87512982880771e-05,0.999631281118244,0.403936047102642,0.176988473001895,-650.048726014355
"50%",0.127431338241498,2.05447018076494e-05,0.999660089007852,0.404093136952082,0.177171567060383,-649.937414394251
"52.5%",0.127496477928808,2.21512010136166e-05,0.99968492713425,0.404237683242774,0.177373385544202,-649.826267084832
"55%",0.127564829976537,2.39883389402483e-05,0.999708190100645,0.40438898957367,0.177521148433022,-649.716860096713
"57.5%",0.127646600796686,2.56981938759532e-05,0.999727396761132,0.404556814260616,0.177704489427425,-649.608593477891
"60%",0.127712057818246,2.74800920502352e-05,0.999747260482104,0.404718511347764,0.177897170302411,-649.50519907786
"62.5%",0.127798699164243,2.93632020704567e-05,0.999767630351595,0.404872678759916,0.178085338116089,-649.403743870062
"65%",0.12787752708582,3.14604614778126e-05,0.999789030184892,0.405035316953249,0.178264508215437,-649.300815174543
"67.5%",0.127959585585611,3.39606998114478e-05,0.999804878752679,0.405211698014168,0.178426681160159,-649.195877157819
"70%",0.128028641117831,3.63034807418082e-05,0.999820192589645,0.405431303328609,0.178662586240537,-649.092235306734
"72.5%",0.128113507156382,3.85846064479251e-05,0.999836920577661,0.405600693610547,0.178869259454263,-648.987450176754
"75%",0.128220357448925,4.1507281877014e-05,0.999855852591926,0.405792595326744,0.179043345032527,-648.887934672116
"77.5%",0.128304019497035,4.51506376756758e-05,0.999872283775004,0.405999383445388,0.179288951918802,-648.784900552619
"80%",0.128394079122038,4.90027771106847e-05,0.999888658522334,0.40622833245923,0.179507252353199,-648.673659992027
"82.5%",0.128505630299259,5.29315005652754e-05,0.999902704945551,0.406470049205682,0.179762830022922,-648.555866929539
"85%",0.128642208167747,5.73298964098321e-05,0.999918923750069,0.406687656328849,0.180006694680984,-648.436194877038
"87.5%",0.128786102970231,6.22934539277497e-05,0.999934834757716,0.406971342857277,0.180279501077889,-648.312658535838
"90%",0.128933517076699,6.88501626832543e-05,0.999947516840995,0.407298661017621,0.180665540297499,-648.163410387716
"92.5%",0.129128805484886,7.73120445740479e-05,0.999962593429906,0.407666727652088,0.181123001182589,-648.02070263816
"95%",0.129390187655443,8.85712210763846e-05,0.999973890320515,0.408163888077215,0.181737375869405,-647.840824609467
"97.5%",0.129769180582965,0.000107671599901099,0.999985185004029,0.408943408010236,0.182590190957227,-647.593631163726
"100%",0.131969327276937,0.000322649821744344,0.999999943662674,0.413065128579976,0.18792780709916,-646.823610743128
