"","Position","C.T","G.A"
"1",1,0.87366199236899,0
"2",2,0.799666318419247,0
"3",3,0.697380253315541,0
"4",4,0.570966723851517,0
"5",5,0.434688951470373,0
"6",6,0.307801496819217,0
"7",7,0.204789302901982,0
"8",8,0.130068773323922,0
"9",9,0.080183484574724,0
"10",10,0.0486965380468152,0
"11",11,0.029521088467582,0
"12",12,0.0180967872685966,0
"13",-12,0.0180967872685966,0
"14",-11,0.029521088467582,0
"15",-10,0.0486965380468152,0
"16",-9,0.080183484574724,0
"17",-8,0.130068773323922,0
"18",-7,0.204789302901982,0
"19",-6,0.307801496819217,0
"20",-5,0.434688951470373,0
"21",-4,0.570966723851517,0
"22",-3,0.697380253315541,0
"23",-2,0.799666318419247,0
"24",-1,0.87366199236899,0
