# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/mapDamage2_ssLibs/input/PES001.B0102.SG1.5_5M.mapped_l_mirabilis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/input/GCF_900637555.1_51726_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	45	413
+	30	1320
+	34	990
+	43	540
+	49	315
+	47	369
+	36	813
+	35	873
+	50	277
+	39	647
+	31	1301
+	69	54
+	42	564
+	40	569
+	33	1050
+	102	7
+	32	1204
+	44	496
+	53	189
+	38	689
+	70	54
+	41	533
+	52	197
+	48	331
+	46	354
+	37	741
+	55	149
+	54	170
+	57	122
+	86	11
+	51	222
+	58	117
+	60	84
+	65	81
+	66	72
+	56	130
+	68	69
+	80	21
+	71	35
+	72	39
+	63	73
+	87	15
+	88	12
+	61	77
+	85	18
+	76	45
+	59	92
+	89	9
+	62	64
+	64	73
+	67	62
+	90	9
+	81	21
+	79	20
+	74	35
+	97	10
+	75	29
+	73	38
+	94	9
+	110	2
+	78	27
+	101	4
+	119	3
+	82	17
+	83	12
+	136	1
+	92	16
+	77	20
+	121	3
+	125	1
+	84	10
+	95	7
+	91	8
+	103	5
+	93	11
+	114	1
+	109	2
+	96	5
+	99	5
+	29	6
+	100	2
+	139	1
+	104	2
+	112	3
+	135	1
+	106	3
+	108	3
+	117	1
+	98	5
+	105	1
+	107	2
+	122	1
+	123	1
+	115	1
+	120	3
+	28	1
+	124	1
+	118	1
+	113	1
-	44	476
-	31	1215
-	37	750
-	51	253
-	30	1280
-	50	268
-	47	332
-	49	267
-	45	443
-	41	483
-	48	291
-	59	112
-	43	531
-	38	697
-	32	1123
-	35	907
-	39	590
-	71	38
-	46	455
-	33	1037
-	42	571
-	55	167
-	54	150
-	66	55
-	34	976
-	36	787
-	60	85
-	53	182
-	67	84
-	82	17
-	40	554
-	78	21
-	72	39
-	52	190
-	56	152
-	64	75
-	61	85
-	70	39
-	57	115
-	75	27
-	79	29
-	68	47
-	89	15
-	84	17
-	73	37
-	109	7
-	63	68
-	93	8
-	107	3
-	90	13
-	69	36
-	86	11
-	85	11
-	100	2
-	58	106
-	65	56
-	74	38
-	92	9
-	106	3
-	81	22
-	96	5
-	91	10
-	29	9
-	76	45
-	83	16
-	103	8
-	87	15
-	77	15
-	105	3
-	115	3
-	97	8
-	98	4
-	62	60
-	101	3
-	94	5
-	95	5
-	80	20
-	88	7
-	117	3
-	128	1
-	111	1
-	124	5
-	108	2
-	116	3
-	104	7
-	102	3
-	122	1
-	118	2
-	99	4
-	127	1
-	114	1
-	123	1
-	126	1
-	132	1
-	121	2
-	119	1
-	125	1
-	112	1
-	28	2
