"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"1",0.151931008375753,0.000280419905464428,0.88130845422304,0.850367094976182,0.575260743971052,-775.085812711788
"2",0.151931008375753,0.000280419905464428,0.88130845422304,0.850367094976182,0.575260743971052,-775.085812711788
"3",0.151931008375753,0.000280419905464428,0.88130845422304,0.850367094976182,0.556154288201911,-775.641056464512
"4",0.151931008375753,0.000280419905464428,0.88130845422304,0.850367094976182,0.590644424000769,-775.741991262547
"5",0.151931008375753,0.000280419905464428,0.896887454259604,0.850367094976182,0.590644424000769,-775.874885415279
"6",0.152061834446786,0.000280419905464428,0.896887454259604,0.850367094976182,0.590644424000769,-775.959659078245
"7",0.152061834446786,0.000280419905464428,0.896887454259604,0.850367094976182,0.590644424000769,-775.959659078245
"8",0.152061834446786,0.000280419905464428,0.896887454259604,0.850367094976182,0.56340084497211,-775.405710718567
"9",0.152061834446786,0.000237748098749079,0.886823731896719,0.850367094976182,0.56340084497211,-775.141060801717
"10",0.152061834446786,0.000237748098749079,0.469108667934939,0.850367094976182,0.56340084497211,-775.227410056834
"11",0.152061834446786,0.000237748098749079,0.469108667934939,0.850367094976182,0.56340084497211,-775.227410056834
"12",0.152061834446786,0.000102432576284955,0.469108667934939,0.850367094976182,0.56340084497211,-774.701937699034
"13",0.152777944235222,0.000102432576284955,0.724284161222261,0.850367094976182,0.56340084497211,-773.863307288029
"14",0.152777944235222,0.000102432576284955,0.70473628543858,0.850367094976182,0.56340084497211,-773.826949595332
"15",0.150926625153101,0.000102432576284955,0.70473628543858,0.850367094976182,0.56340084497211,-773.567593723155
"16",0.150926625153101,0.000102432576284955,0.70473628543858,0.850367094976182,0.56340084497211,-773.567593723155
"17",0.150926625153101,0.000102432576284955,0.747490662581546,0.846866378575812,0.56340084497211,-773.712153131313
"18",0.150926625153101,0.000102432576284955,0.747490662581546,0.846866378575812,0.56340084497211,-773.712153131313
"19",0.152163641453789,0.000102432576284955,0.747490662581546,0.846866378575812,0.560907729874579,-773.969619594695
"20",0.152163641453789,0.000102432576284955,0.747490662581546,0.846866378575812,0.560907729874579,-773.969619594695
"21",0.148860213277124,0.000102432576284955,0.747490662581546,0.846866378575812,0.560907729874579,-774.044398365018
"22",0.148860213277124,0.000102432576284955,0.747490662581546,0.846866378575812,0.560907729874579,-774.044398365018
"23",0.148860213277124,0.000102432576284955,0.747490662581546,0.846866378575812,0.559346361239647,-774.204453665429
"24",0.148860213277124,0.000102432576284955,0.613227249874339,0.846866378575812,0.559346361239647,-774.213161592668
"25",0.148860213277124,0.000102432576284955,0.613227249874339,0.846866378575812,0.54346703604459,-776.464137780579
