pos	5pC>T
1	0.0974358974358974
2	0.0517799352750809
3	0.027124773960217
4	0.0388888888888889
5	0.0274193548387097
6	0.0267175572519084
7	0.0294117647058824
8	0.019434628975265
9	0.0238568588469185
10	0.0280898876404494
11	0.0350584307178631
12	0.0138613861386139
13	0.0199203187250996
14	0.0332167832167832
15	0.036468330134357
16	0.0446601941747573
17	0.0220713073005093
18	0.0271317829457364
19	0.0283553875236295
20	0.0199335548172757
21	0.0293040293040293
22	0.0234833659491194
23	0.0383275261324042
24	0.0254545454545455
25	0.0265848670756646
