pos	5pC>T
1	0.159420289855072
2	0.117647058823529
3	0.037037037037037
4	0.166666666666667
5	0.0909090909090909
6	0.0428571428571429
7	0.123076923076923
8	0.0307692307692308
9	0.0563380281690141
10	0.0441176470588235
11	0.0652173913043478
12	0.0617283950617284
13	0.0422535211267606
14	0.06
15	0.0491803278688525
16	0.0481927710843374
17	0.0327868852459016
18	0.0476190476190476
19	0.0649350649350649
20	0.0178571428571429
21	0
22	0.0151515151515152
23	0.0298507462686567
24	0.0125
25	0.0384615384615385
