"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.105081718702252,0.0437386670867031,0.768950072031478,0.644956568215696,0.356514508912393,-477.422269125628
"Std.",0.00375614855115508,0.00364045186425462,0.143075650508532,0.0649147358514994,0.0180795944915587,1.48173658137504
"Acceptance ratio",0.17492,0.24668,0.15372,0.28956,0.24432,0.71696
"0%",0.0920187837188584,0.0303456434148982,0.295664939735729,0.316773363533542,0.290700777558464,-488.273753349768
"2.5%",0.0979294458934749,0.0366230507086182,0.473838860988421,0.498917065134872,0.322247021887474,-481.113108814295
"5%",0.0990042200517202,0.0378518167411665,0.517122191418165,0.525771990926603,0.32781089427523,-480.309461163388
"7.5%",0.0996771334637609,0.0385388534841279,0.544791337669626,0.542606971637225,0.330969571640276,-479.800417612739
"10%",0.100334157406551,0.039122319169595,0.565903676682999,0.555797228453157,0.333698848753333,-479.420749102073
"12.5%",0.100774115263788,0.0395648575837188,0.588578167749587,0.567971968683296,0.335909688364698,-479.124839820325
"15%",0.101218854062273,0.0399835942977128,0.60480592809095,0.57727420567332,0.337883811398952,-478.87983052508
"17.5%",0.101577738730364,0.0403253485152883,0.621419955279688,0.585552434400546,0.339643070585736,-478.654113984521
"20%",0.101887328181441,0.0406242253634153,0.640537929683256,0.592760329719995,0.341231067851591,-478.467973506746
"22.5%",0.102165956526293,0.0409518051812961,0.654198672305721,0.598829155813761,0.342662058692035,-478.304206336778
"25%",0.102506234379442,0.0412988759804021,0.668717393575398,0.605424898836909,0.343882647909736,-478.154948505413
"27.5%",0.102794135972442,0.0415620121723917,0.679099037928469,0.611500803213124,0.345289381191054,-478.012257329325
"30%",0.103100939136611,0.0418650799518567,0.691395959826613,0.616923763968786,0.346549734736904,-477.890438647082
"32.5%",0.103357224891603,0.0421098170482511,0.702966412472868,0.622071335716653,0.347878169066806,-477.77223915661
"35%",0.103604440663948,0.0423469007222688,0.714106666670202,0.626706963531542,0.349128166685773,-477.654060317114
"37.5%",0.103853560377677,0.0425750408857215,0.725520315031514,0.631060153097215,0.350260980031087,-477.541090415952
"40%",0.104083635385242,0.042771121871258,0.736468588501414,0.635439393929329,0.351424003057194,-477.445386263461
"42.5%",0.104323520553817,0.0429748022384946,0.747710770578558,0.63998725270371,0.352576732879879,-477.353273538364
"45%",0.104557294543582,0.0432095714257139,0.758910493787713,0.643911915217313,0.353771501029189,-477.261302816491
"47.5%",0.104760139733048,0.0434444838406371,0.768102997754043,0.648116913507748,0.354896708084211,-477.1711105477
"50%",0.104999042482247,0.0436847907937551,0.779702672636061,0.652356134398907,0.356086406355305,-477.087321288213
"52.5%",0.105233009894831,0.0439384117014438,0.790721006676125,0.656690470707567,0.357248570346684,-477.00486701266
"55%",0.105476258983912,0.0441629087622279,0.800885792959043,0.660599883799816,0.358393206767862,-476.929099148338
"57.5%",0.105735001550391,0.0444063583471487,0.81099913927961,0.664821337623272,0.359674544654868,-476.850533376212
"60%",0.105994616427258,0.0446335306419119,0.821514450163186,0.668364827378589,0.360963928186141,-476.779048838623
"62.5%",0.106236592370932,0.0448714394049683,0.832493278144448,0.672465856708715,0.362231283887122,-476.702521169354
"65%",0.106453873424371,0.0451160505252589,0.843502138063788,0.676572774468154,0.363348562886209,-476.629279769106
"67.5%",0.106683193327161,0.0453874156650604,0.855480265671815,0.680278992744426,0.364541886374075,-476.554474778439
"70%",0.106940855090262,0.0456575523721608,0.866208955924498,0.684139020779621,0.365859328606893,-476.476599345315
"72.5%",0.107253030565045,0.0458825619153326,0.878281384199849,0.687877837714249,0.367093670832238,-476.40390898776
"75%",0.10755797188064,0.0461405739090351,0.888853195873455,0.692146214377965,0.368501283986065,-476.32989574627
"77.5%",0.107880373217909,0.0464591237459511,0.899014312280653,0.69637417233488,0.37000177632156,-476.261052479425
"80%",0.108207331859963,0.0467890653869849,0.908529849040364,0.701245615621827,0.371603867190201,-476.187490548908
"82.5%",0.108606101364763,0.0471336890931256,0.920528469020862,0.705718358190885,0.373363110824485,-476.112596203047
"85%",0.109018623103342,0.0474924049750325,0.930158481922521,0.710210423186969,0.375056686948822,-476.039640143753
"87.5%",0.109536570372865,0.0479314282380235,0.941551274118934,0.715589294611855,0.377241340731952,-475.960906639022
"90%",0.110012854133998,0.0484681589191526,0.952755743357156,0.721070916838868,0.379819996162462,-475.875166058364
"92.5%",0.110642794427111,0.0490789247511771,0.964931983440178,0.727444506720446,0.383118767834223,-475.783723926603
"95%",0.111424198079324,0.0497780996209481,0.976214421395243,0.737938018257206,0.387114042888387,-475.683326783168
"97.5%",0.112607488079486,0.0509808207584796,0.987993778641236,0.750152141632644,0.393644290442065,-475.550457929648
"100%",0.121362069183511,0.0600378147117827,0.999954340087743,0.842589704551701,0.43235484793632,-475.230612752464
