# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_ssLibs/input/CDM019.A0102.SG1.4_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	65	10
+	36	29
+	75	17
+	124	1
+	76	63
+	39	14
+	42	30
+	91	5
+	31	45
+	37	31
+	114	1
+	47	21
+	53	11
+	34	37
+	52	11
+	45	24
+	54	12
+	30	32
+	40	21
+	64	8
+	56	13
+	32	37
+	43	22
+	69	9
+	128	2
+	60	7
+	66	13
+	106	3
+	77	8
+	70	9
+	92	5
+	33	24
+	51	12
+	46	13
+	50	15
+	44	14
+	67	6
+	38	27
+	72	9
+	111	1
+	103	3
+	73	15
+	99	1
+	79	6
+	63	7
+	58	14
+	80	5
+	35	24
+	74	7
+	68	4
+	41	17
+	55	7
+	61	2
+	85	4
+	104	2
+	57	10
+	84	1
+	71	4
+	127	2
+	83	4
+	134	1
+	105	2
+	101	4
+	126	2
+	81	3
+	48	18
+	62	4
+	96	4
+	112	1
+	119	2
+	117	2
+	113	1
+	59	7
+	122	1
+	98	3
+	93	6
+	49	12
+	100	3
+	131	1
+	138	1
+	88	4
+	90	4
+	97	1
+	94	1
+	118	1
+	78	3
+	109	1
+	137	1
+	82	4
+	86	2
+	130	2
+	135	1
+	107	2
+	89	2
+	136	1
+	95	1
+	125	1
+	102	1
+	110	1
-	54	11
-	42	22
-	76	90
-	32	31
-	100	1
-	74	9
-	31	35
-	34	28
-	43	23
-	44	24
-	37	20
-	36	30
-	134	1
-	73	16
-	33	22
-	39	18
-	48	15
-	35	23
-	45	15
-	41	26
-	70	6
-	38	20
-	47	20
-	53	15
-	71	6
-	56	12
-	111	2
-	75	13
-	40	13
-	88	2
-	60	8
-	102	3
-	82	2
-	92	1
-	49	25
-	46	13
-	109	1
-	50	14
-	30	30
-	84	2
-	124	1
-	86	5
-	65	9
-	64	9
-	51	10
-	94	2
-	69	5
-	99	1
-	55	8
-	61	5
-	79	2
-	96	2
-	103	2
-	77	7
-	106	1
-	95	1
-	72	8
-	58	11
-	52	5
-	63	3
-	120	2
-	122	2
-	112	1
-	119	2
-	67	8
-	85	7
-	97	3
-	83	1
-	126	3
-	62	3
-	110	1
-	66	11
-	80	1
-	57	9
-	104	3
-	68	5
-	59	5
-	93	2
-	78	5
-	117	2
-	81	3
-	107	1
-	125	1
-	139	1
-	101	1
-	91	1
-	132	1
-	115	1
-	130	1
-	89	1
-	114	1
