"","Position","C.T","G.A"
"1",1,0.956830000335096,0.832811130116707
"2",2,0.929939861663125,0.845120073766121
"3",3,0.888338360335085,0.847425667560482
"4",4,0.845220905531674,0.829165720977702
"5",5,0.822869129571744,0.787353783963652
"6",6,0.816886181030894,0.725612137724814
"7",7,0.811294283998838,0.665545729406751
"8",8,0.793790757099858,0.653174996004801
"9",9,0.766567162556169,0.673469702023858
"10",10,0.76576671118044,0.645506343923623
"11",11,0.760240678572248,0.634567538773519
"12",12,0.749584023857044,0.640439570400663
"13",-12,0.388269451925839,0.799642505388466
"14",-11,0.662322958783318,0.743338877073377
"15",-10,0.745408197532974,0.682705926924919
"16",-9,0.773067069655791,0.660278126595056
"17",-8,0.75061963190312,0.729241411953782
"18",-7,0.698894652211006,0.795282991314062
"19",-6,0.695393103472065,0.825254931494559
"20",-5,0.737235431888458,0.845114261623438
"21",-4,0.771005248993819,0.872612207295503
"22",-3,0.77624439561518,0.907707215100438
"23",-2,0.805508853675847,0.934121961531902
"24",-1,0.852574762095669,0.953779259757846
