pos	3pG>A
1	0.036144578313253
2	0.0387096774193548
3	0.0280898876404494
4	0.0305343511450382
5	0.0428571428571429
6	0.0184049079754601
7	0.0451612903225806
8	0.0165745856353591
9	0.05
10	0.0569620253164557
11	0.0114285714285714
12	0.0372670807453416
13	0.0402684563758389
14	0.0526315789473684
15	0.0368421052631579
16	0.0317460317460317
17	0.0419161676646707
18	0.0396039603960396
19	0.0318471337579618
20	0.0340136054421769
21	0.0324324324324324
22	0.0645161290322581
23	0.025
24	0.0222222222222222
25	0.04
