pos	3pG>A
1	0.401041666666667
2	0.324137931034483
3	0.105960264900662
4	0.0909090909090909
5	0.0979020979020979
6	0.0655737704918033
7	0.0977011494252874
8	0.0662251655629139
9	0.0677083333333333
10	0.0717948717948718
11	0.0687830687830688
12	0.0441988950276243
13	0.0411764705882353
14	0.0487804878048781
15	0.0411764705882353
16	0.0564102564102564
17	0.0523560209424084
18	0.0597014925373134
19	0.0362694300518135
20	0.0582010582010582
21	0.0336538461538462
22	0.0241545893719807
23	0.0838323353293413
24	0.0298507462686567
25	0.050561797752809
