pos	5pC>T
1	0.328502415458937
2	0.248648648648649
3	0.146341463414634
4	0.1
5	0.0666666666666667
6	0.092896174863388
7	0.0575916230366492
8	0.0352941176470588
9	0.0669856459330144
10	0.0414507772020725
11	0.0508474576271186
12	0.0540540540540541
13	0.0616113744075829
14	0.0747126436781609
15	0.0585365853658537
16	0.0579710144927536
17	0.0930232558139535
18	0.0611111111111111
19	0.0418604651162791
20	0.0447761194029851
21	0.0277777777777778
22	0.0434782608695652
23	0.0529411764705882
24	0.0434782608695652
25	0.0451977401129944
